No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,Team
3,Damar Hamlin,25,S,5,0,200,6-0,Pittsburgh,3/24/1998,2,0,Buffalo Bills / 6th / 212th pick / 2021,HamlDa00,BUF
22,Damien Harris,26,RB,6,0,213,5-11,Alabama,2/11/1997,4,1,New England Patriots / 3rd / 87th pick / 2019,HarrDa06,BUF
11,Deonte Harty,26,WR,16,1,170,5-6,Assumption,12/4/1997,4,2,,HarrDe07,BUF
23,Micah Hyde,33,S,14,14,197,6-0,Iowa,12/31/1990,10,5,Green Bay Packers / 5th / 159th pick / 2013,HydeMi00,BUF
46,Ja'Marcus Ingram,26,CB,3,0,190,6-2,"Utah St.,Texas Tech,Buffalo",9/2/1997,1,0,,IngrJa00,BUF
87,Andy Isabella,27,WR,2,0,188,5-9,Massachusetts,11/18/1996,4,0,Arizona Cardinals / 2nd / 62nd pick / 2019,IsabAn00,BUF
30,Dane Jackson,27,CB,15,6,180,5-11,Pittsburgh,11/29/1996,3,2,Buffalo Bills / 7th / 239th pick / 2020,JackDa02,BUF
7,Taron Johnson,27,CB,17,17,192,5-11,Weber St.,7/27/1996,5,12,Buffalo Bills / 4th / 121st pick / 2018,JohnTa01,BUF
26,Ty Johnson,26,RB,10,0,210,5-10,Maryland,9/17/1997,4,2,Detroit Lions / 6th / 186th pick / 2019,JohnTy02,BUF
59,Kingsley Jonathan,25,DE,13,0,260,6-4,Syracuse,4/28/1998,1,1,,JonaKi00,BUF
92,DaQuan Jones,32,DT,7,7,320,6-4,Penn St.,12/17/1991,9,4,Tennessee Titans / 4th / 112th pick / 2014,JoneDa04,BUF
93,Linval Joseph,35,DT,7,0,329,6-4,East Carolina,10/10/1988,13,1,New York Giants / 2nd / 46th pick / 2010,JoseLi99,BUF
86,Dalton Kincaid,24,TE,16,11,240,6-4,"San Diego,Utah",10/18/1999,Rook,7,Buffalo Bills / 1st / 25th pick / 2023,KincDa00,BUF
52,A.J. Klein,32,LB,2,0,240,6-1,Iowa St.,7/30/1991,10,0,Carolina Panthers / 5th / 148th pick / 2013,KleiAJ00,BUF
88,Dawson Knox,27,TE,12,11,254,6-4,Mississippi,11/14/1996,4,2,Buffalo Bills / 3rd / 96th pick / 2019,KnoxDa00,BUF
90,Shaq Lawson,29,DE,16,1,265,6-3,Clemson,6/17/1994,7,2,Buffalo Bills / 1st / 19th pick / 2016,LawsSh00,BUF
39,Cameron Lewis,26,CB,17,0,183,5-9,Buffalo,4/13/1997,3,1,,LewiCa00,BUF
8,Sam Martin,33,P,17,0,211,6-1,Appalachian St.,2/27/1990,10,1,Detroit Lions / 5th / 165th pick / 2013,MartSa01,BUF
44,Tyler Matakevich,31,LB,17,0,235,6-1,Temple,12/22/1992,7,1,Pittsburgh Steelers / 7th / 246th pick / 2016,MataTy00,BUF
66,Connor McGovern,26,G,17,17,318,6-5,Penn St.,11/3/1997,3,8,Dallas Cowboys / 3rd / 90th pick / 2019,McGoCo01,BUF
58,Matt Milano,29,LB,5,5,223,6-0,Boston Col.,7/28/1994,6,3,Buffalo Bills / 5th / 163rd pick / 2017,MilaMa00,BUF
40,Von Miller,34,LB,12,0,250,6-3,Texas A&M,3/26/1989,12,1,Denver Broncos / 1st / 2nd pick / 2011,MillVo00,BUF
85,Quintin Morris,24,TE,15,0,252,6-2,Bowling Green,1/21/1999,1,0,,MorrQu00,BUF
60,Mitch Morse,31,C,17,17,305,6-6,Missouri,4/21/1992,8,8,Kansas City Chiefs / 2nd / 49th pick / 2015,MorsMi00,BUF
28,Latavius Murray,33,RB,16,4,230,6-3,Central Florida,1/18/1990,9,3,Oakland Raiders / 6th / 181st pick / 2013,MurrLa00,BUF
33,Siran Neal,29,CB,17,0,206,6-0,Jacksonville St.,8/4/1994,5,1,Buffalo Bills / 5th / 154th pick / 2018,NealSi00,BUF
29,Josh Norman,36,CB,4,0,195,6-0,Coastal Carolina,12/15/1987,11,0,Carolina Panthers / 5th / 143rd pick / 2012,NormJo01,BUF
91,Ed Oliver,26,DT,16,16,287,6-1,Houston,12/12/1997,4,9,Buffalo Bills / 1st / 9th pick / 2019,OlivEd00,BUF
97,Jordan Phillips,31,DT,14,9,330,6-6,Oklahoma,9/21/1992,8,5,Miami Dolphins / 2nd / 52nd pick / 2015,PhilJo01,BUF
21,Jordan Poyer,32,SS,16,16,191,6-0,Oregon St.,4/25/1991,10,5,Philadelphia Eagles / 7th / 218th pick / 2013,PoyeJo00,BUF
20,Taylor Rapp,26,S,16,4,208,6-0,Washington,12/22/1997,4,2,Los Angeles Rams / 2nd / 61st pick / 2019,RappTa00,BUF
50,Gregory Rousseau,23,DE,16,16,266,6-6,Miami (FL),4/5/2000,2,9,Buffalo Bills / 1st / 30th pick / 2021,RousGr00,BUF
99,Tim Settle,26,DT,17,2,313,6-3,Virginia Tech,7/11/1997,5,2,Washington Redskins / 5th / 163rd pick / 2018,SettTi00,BUF
10,Khalil Shakir,23,WR,17,10,190,6-0,Boise St.,2/3/2000,1,6,Buffalo Bills / 5th / 148th pick / 2022,ShakKh00,BUF
16,Trent Sherfield,27,WR,17,1,206,6-1,Vanderbilt,2/25/1996,5,1,,SherTr00,BUF
54,Baylon Spector,25,LB,9,0,233,6-0,Clemson,10/20/1998,1,1,Buffalo Bills / 7th / 231st pick / 2022,SpecBa00,BUF
64,O'Cyrus Torrence,23,G,17,17,347,6-5,"Louisiana,Florida",1/20/2000,Rook,8,Buffalo Bills / 2nd / 59th pick / 2023,TorrOC00,BUF
74,Ryan Van Demark,25,T,12,0,307,6-6,Connecticut,3/22/1998,1,1,,VanDRy00,BUF
93,Kendal Vickers,28,DE,2,0,295,6-3,Tennessee,5/23/1995,3,0,,VickKe00,BUF
27,Tre'Davious White,28,CB,4,4,196,5-9,LSU,1/16/1995,6,2,Buffalo Bills / 1st / 27th pick / 2017,WhitTr01,BUF
42,Dorian Williams,22,LB,17,2,230,6-2,Tulane,6/8/2001,Rook,2,Buffalo Bills / 3rd / 91st pick / 2023,WillDo04,BUF
,Team Total,27.4,,17,,240.6,6-1.7,,,4.6,,,,BUF
