No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional,Team
29,Cameron Mitchell,22,CB,13,3,191,5-11,Northwestern,9/8/2001,Rook,2,Cleveland Browns / 5th / 142nd pick / 2023,MitcCa01,CLE
8,Elijah Moore,23,WR,17,12,180,5-10,Mississippi,3/27/2000,2,5,New York Jets / 2nd / 34th pick / 2021,MoorEl00,CLE
0,Greg Newsome II,23,CB,14,13,192,6-0,Northwestern,5/18/2000,2,6,Cleveland Browns / 1st / 26th pick / 2021,NewsGr00,CLE
85,David Njoku,27,TE,16,16,246,6-4,Miami (FL),7/10/1996,6,7,Cleveland Browns / 1st / 29th pick / 2017,NjokDa00,CLE
72,Ty Nsekhe,38,T,2,0,325,6-8,Texas St.,10/27/1985,11,0,,NsekTy00,CLE
54,Ogbonnia Okoronkwo,28,DE,14,0,250,6-2,Oklahoma,4/24/1995,4,2,Los Angeles Rams / 5th / 160th pick / 2018,OkorOg00,CLE
6,Jeremiah Owusu-Koramoah,24,LB,16,13,221,6-2,Notre Dame,11/4/1999,2,11,Cleveland Browns / 2nd / 52nd pick / 2021,OwusJe00,CLE
36,Riley Patterson,24,K,2,0,190,6-0,Memphis,9/7/1999,2,0,,PattRi01,CLE
11,Donovan Peoples-Jones,24,WR,7,5,204,6-2,Michigan,2/19/1999,3,1,Cleveland Browns / 6th / 187th pick / 2020,PeopDo00,CLE
55,Ethan Pocic,28,C,15,15,320,6-6,LSU,8/5/1995,6,5,Seattle Seahawks / 2nd / 58th pick / 2017,PociEt00,CLE
11,James Proche,27,WR,10,1,193,5-11,SMU,9/21/1996,3,0,Baltimore Ravens / 6th / 201st pick / 2020,ProcJa00,CLE
99,Za'Darius Smith,31,DE,16,16,270,6-4,"East Mississippi CC,Kentucky",9/8/1992,8,9,Baltimore Ravens / 4th / 122nd pick / 2015,SmitZa00,CLE
20,Pierre Strong,25,RB,17,1,215,5-11,South Dakota St.,12/10/1998,1,2,New England Patriots / 4th / 127th pick / 2022,StroPi00,CLE
44,Sione Takitaki,28,RLB/MLB,15,7,245,6-1,BYU,6/8/1995,4,5,Cleveland Browns / 3rd / 80th pick / 2019,TakiSi00,CLE
77,Wyatt Teller,29,G,17,16,315,6-4,Virginia Tech,11/21/1994,5,7,Buffalo Bills / 5th / 166th pick / 2018,TellWy00,CLE
35,Charlie Thomas,23,LB,4,0,216,6-3,"Georgia Tech,Stanford",1/31/2000,Rook,0,,ThomCh02,CLE
17,Dorian Thompson-Robinson,24,QB,8,3,203,6-2,UCLA,11/14/1999,Rook,1,Cleveland Browns / 5th / 140th pick / 2023,ThomDo02,CLE
1,Juan Thornhill,28,S,11,11,205,6-0,Virginia,10/19/1995,4,4,Kansas City Chiefs / 2nd / 63rd pick / 2019,ThorJu00,CLE
19,Cedric Tillman,23,WR,14,3,215,6-3,Tennessee,4/19/2000,Rook,2,Cleveland Browns / 3rd / 74th pick / 2023,TillCe01,CLE
94,Dalvin Tomlinson,29,DT,16,16,325,6-3,Alabama,2/28/1994,6,8,New York Giants / 2nd / 55th pick / 2017,TomlDa00,CLE
5,Anthony Walker,28,MLB,12,12,235,6-1,Northwestern,8/8/1995,6,7,Indianapolis Colts / 5th / 161st pick / 2017,WalkAn01,CLE
10,P.J. Walker,28,QB,6,2,215,5-11,Temple,2/26/1995,3,2,,WalkPh00,CLE
21,Denzel Ward,26,CB,13,11,190,5-11,Ohio St.,4/28/1997,5,9,Cleveland Browns / 1st / 4th pick / 2018,WardDe02,CLE
4,Deshaun Watson,28,QB,6,6,223,6-3,Clemson,9/14/1995,6,4,Houston Texans / 1st / 12th pick / 2017,WatsDe00,CLE
69,Leroy Watson,25,T,7,0,310,6-5,"Hutchinson (KS),Texas-San Antonio",6/10/1998,1,0,,WatsLe00,CLE
71,Jedrick Wills Jr.,24,T,8,8,307,6-4,Alabama,5/17/1999,3,3,Cleveland Browns / 1st / 10th pick / 2020,WillJe04,CLE
91,Alex Wright,23,DE,16,1,267,6-5,Ala-Birmingham,9/5/2000,1,3,Cleveland Browns / 3rd / 78th pick / 2022,WrigAl01,CLE
56,Luke Wypler,22,C,5,1,303,6-3,Ohio St.,5/3/2001,Rook,1,Cleveland Browns / 6th / 190th pick / 2023,WyplLu00,CLE
,Team Total,26.7,,17,,240.7,6-1.9,,,3.9,,,,CLE
