No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional,Team
18,Malik Heath,23,WR,13,1,213,6-2,"Copiah-Lincoln CC,Mississippi St.,Mississippi",3/3/2000,Rook,1,,HeatMa00,GNB
47,Justin Hollins,27,LB,4,0,248,6-5,Oregon,1/15/1996,4,0,Denver Broncos / 5th / 156th pick / 2019,HollJu00,GNB
74,Elgton Jenkins,28,OL,15,15,311,6-5,Mississippi St.,12/26/1995,4,8,Green Bay Packers / 2nd / 44th pick / 2019,JenkEl00,GNB
36,Anthony Johnson,24,S,12,4,205,6-0,Iowa St.,12/2/1999,Rook,2,Green Bay Packers / 7th / 242nd pick / 2023,JohnAn08,GNB
33,Aaron Jones,29,RB,11,11,208,5-9,Texas-El Paso,12/2/1994,6,7,Green Bay Packers / 5th / 182nd pick / 2017,JoneAa00,GNB
72,Caleb Jones,24,T,1,0,370,6-9,Indiana,2/10/1999,1,0,,JoneCa03,GNB
24,Kyu Blu Kelly,22,CB,1,0,193,6-0,Stanford,5/22/2001,Rook,0,Baltimore Ravens / 5th / 157th pick / 2023,BluxKy00,GNB
85,Tucker Kraft,23,TE,17,8,259,6-5,South Dakota St.,11/3/2000,Rook,4,Green Bay Packers / 3rd / 78th pick / 2023,KrafTu00,GNB
6,Dallin Leavitt,29,S,10,0,195,5-10,Utah St.,8/8/1994,5,0,,LeavDa00,GNB
30,David Long,25,CB,3,0,196,5-11,Michigan,2/6/1998,4,0,Los Angeles Rams / 3rd / 79th pick / 2019,LongDa02,GNB
10,Jordan Love,25,QB,17,17,219,6-4,Utah St.,11/2/1998,2,15,Green Bay Packers / 1st / 26th pick / 2020,LoveJo03,GNB
58,Isaiah McDuffie,24,LB,16,8,227,6-1,Boston Col.,7/21/1999,2,4,Green Bay Packers / 6th / 220th pick / 2021,McDuIs00,GNB
80,Bo Melton,24,WR,5,1,189,5-11,Rutgers,5/18/1999,1,2,Seattle Seahawks / 7th / 229th pick / 2022,MeltBo00,GNB
88,Luke Musgrave,23,TE,11,9,253,6-6,Oregon St.,9/2/2000,Rook,3,Green Bay Packers / 2nd / 42nd pick / 2023,MusgLu00,GNB
71,Josh Myers,25,OL,17,17,310,6-5,Ohio St.,7/16/1998,2,9,Green Bay Packers / 2nd / 62nd pick / 2021,MyerJo00,GNB
70,Royce Newman,26,OL,17,2,310,6-5,Mississippi,8/17/1997,2,2,Green Bay Packers / 4th / 142nd pick / 2021,NewmRo00,GNB
73,Yosh Nijman,27,T,17,1,314,6-7,Virginia Tech,1/2/1996,3,2,,NijmYo01,GNB
25,Keisean Nixon,26,CB,17,13,200,5-10,South Carolina,6/22/1997,4,11,,NixoKe00,GNB
42,Matthew Orzech,28,LS,17,0,245,6-3,Azusa Pacific,4/12/1995,4,1,,OrzeMa00,GNB
34,Jonathan Owens,28,S,17,11,210,5-11,Missouri Western St.,7/22/1995,4,4,,OwenJo01,GNB
44,Henry Pearson,24,FB,2,0,249,6-2,Appalachian St.,11/23/1999,Rook,0,,PearHe00,GNB
11,Jayden Reed,23,WR,16,13,187,5-11,"Western Michigan,Michigan St.",4/28/2000,Rook,9,Green Bay Packers / 2nd / 50th pick / 2023,ReedJa03,GNB
75,Sean Rhyan,23,OL,12,0,321,6-5,UCLA,9/15/2000,1,1,Green Bay Packers / 3rd / 92nd pick / 2022,RhyaSe00,GNB
32,James Robinson,25,RB,1,0,219,5-9,"Butler (KS),Illinois St.",8/9/1998,3,0,,RobiJa00,GNB
22,Robert Rochell,25,CB,9,0,193,6-0,Central Arkansas,4/26/1998,2,0,Los Angeles Rams / 4th / 130th pick / 2021,RochRo00,GNB
76,Jon Runyan Jr.,26,RG,17,17,307,6-4,Michigan,8/8/1997,3,9,Green Bay Packers / 6th / 192nd pick / 2020,RunyJo00,GNB
48,Benny Sapp III,23,S,5,0,200,5-11,"Minnesota,Northern Iowa",6/27/2000,Rook,0,,SappBe00,GNB
26,Darnell Savage Jr.,26,SS,10,10,198,5-11,Maryland,7/30/1997,4,3,Green Bay Packers / 1st / 21st pick / 2019,SavaDa00,GNB
89,Ben Sims,23,TE,17,1,250,6-5,Baylor,5/16/2000,Rook,0,,SimsBe00,GNB
93,Tedarrell Slaton,26,DL,17,17,330,6-4,Florida,10/3/1997,2,7,Green Bay Packers / 5th / 173rd pick / 2021,SlatTe00,GNB
91,Preston Smith,31,LB,17,17,265,6-5,Mississippi St.,11/17/1992,8,7,Washington Redskins / 2nd / 38th pick / 2015,SmitPr00,GNB
21,Eric Stokes,24,CB,3,2,194,6-1,Georgia,3/1/1999,2,1,Green Bay Packers / 1st / 29th pick / 2021,StokEr00,GNB
27,Patrick Taylor,25,RB,11,0,217,6-2,Memphis,4/29/1998,2,1,,TaylPa01,GNB
43,Kiondre Thomas,25,CB,1,0,186,6-0,"Minnesota,Kansas St.",2/7/1998,2,0,,ThomKi00,GNB
50,Zach Tom,24,OL,17,17,304,6-4,Wake Forest,3/26/1999,1,9,Green Bay Packers / 4th / 140th pick / 2022,TomxZa00,GNB
83,Samori Toure,25,WR,11,0,191,6-1,"Montana,Nebraska",3/24/1998,1,1,Green Bay Packers / 7th / 258th pick / 2022,TourSa00,GNB
37,Carrington Valentine,22,CB,17,12,189,6-0,Kentucky,9/9/2001,Rook,3,Green Bay Packers / 7th / 232nd pick / 2023,ValeCa00,GNB
90,Lukas Van Ness,22,LB,17,0,272,6-5,Iowa,7/6/2001,Rook,1,Green Bay Packers / 1st / 13th pick / 2023,VanNLu00,GNB
7,Quay Walker,23,LB,14,14,241,6-4,Georgia,5/8/2000,1,6,Green Bay Packers / 1st / 22nd pick / 2022,WalkQu00,GNB
63,Rasheed Walker,23,T,17,15,324,6-6,Penn St.,2/13/2000,1,10,Green Bay Packers / 7th / 249th pick / 2022,WalkRa00,GNB
9,Christian Watson,24,WR,9,9,208,6-4,North Dakota St.,5/12/1999,1,4,Green Bay Packers / 2nd / 34th pick / 2022,WatsCh00,GNB
54,Kristian Welch,25,LB,14,0,240,6-3,Iowa,5/24/1998,3,1,,WelcKr00,GNB
19,Daniel Whelan,24,P,17,0,216,6-5,UC Davis,2/10/1999,1,1,,WhelDa00,GNB
13,Dontayvion Wicks,22,WR,15,6,206,6-1,Virginia,6/16/2001,Rook,6,Green Bay Packers / 5th / 159th pick / 2023,WickDo00,GNB
31,Emanuel Wilson,24,RB,7,0,226,5-10,"Johnson C. Smith,Fort Valley St.",5/8/1999,Rook,1,,WilsEm00,GNB
45,Eric Wilson,29,LB,17,0,230,6-1,Cincinnati,9/26/1994,6,1,,WilsEr00,GNB
96,Colby Wooden,23,DL,17,0,273,6-4,Auburn,12/21/2000,Rook,1,Green Bay Packers / 4th / 116th pick / 2023,WoodCo01,GNB
95,Devonte Wyatt,25,DL,17,5,304,6-3,"Hutchinson (KS),Georgia",3/31/1998,1,3,Green Bay Packers / 1st / 28th pick / 2022,WyatDe00,GNB
,Team Total,25.2,,17,,240.5,6-2.2,,,2.3,,,,GNB
