No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional,Team
65,J.D. DiRenzo,25,G,3,0,315,6-6,"Sacred Heart,Rutgers",7/27/1998,Rook,0,,DiReJD00,CAR
79,Ikem Ekwonu,23,T,17,17,320,6-4,North Carolina St.,10/31/2000,1,6,Carolina Panthers / 1st / 6th pick / 2022,EkwoIk00,CAR
41,Matthias Farley,31,S,5,1,209,5-11,Notre Dame,7/15/1992,7,1,,FarlMa00,CAR
42,Sam Franklin,27,S,17,4,210,6-3,Temple,2/2/1996,3,2,,FranSa00,CAR
20,Shaquill Griffin,28,CB,3,1,198,6-0,Central Florida,7/20/1995,6,0,Seattle Seahawks / 3rd / 90th pick / 2017,GrifSh00,CAR
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,CAR
97,Yetur Gross-Matos,25,DE,12,6,265,6-5,Penn St.,2/26/1998,3,3,Carolina Panthers / 2nd / 38th pick / 2020,GrosYe00,CAR
54,Kamu Grugier-Hill,29,LB,17,5,230,6-2,Eastern Illinois,5/16/1994,7,3,New England Patriots / 6th / 208th pick / 2016,GrugKa00,CAR
98,Marquis Haynes,30,OLB,7,1,235,6-2,Mississippi,12/16/1993,5,1,Carolina Panthers / 4th / 136th pick / 2018,HaynMa01,CAR
10,Johnny Hekker,33,P,17,0,225,6-5,Oregon St.,2/8/1990,11,2,,HekkJo00,CAR
23,C.J. Henderson,25,CB,12,7,205,6-1,Florida,9/30/1998,3,2,Jacksonville Jaguars / 1st / 9th pick / 2020,HendCJ00,CAR
13,Troy Hill,32,CB,16,3,182,5-10,Oregon,8/29/1991,8,2,,HillTr01,CAR
8,Jaycee Horn,24,CB,6,6,200,6-1,South Carolina,11/26/1999,2,2,Carolina Panthers / 1st / 8th pick / 2021,HornJa00,CAR
50,Justin Houston,34,ROLB,7,7,270,6-3,Georgia,1/21/1989,12,3,Kansas City Chiefs / 3rd / 70th pick / 2011,HousJu00,CAR
30,Chuba Hubbard,24,RB,17,12,210,6-1,Oklahoma St.,6/11/1999,2,6,Carolina Panthers / 4th / 126th pick / 2021,HubbCh01,CAR
81,Hayden Hurst,30,TE,9,8,245,6-4,South Carolina,8/24/1993,5,1,Baltimore Ravens / 1st / 25th pick / 2018,HursHa00,CAR
26,Donte Jackson,28,CB,16,16,180,5-10,LSU,11/8/1995,5,5,Carolina Panthers / 2nd / 55th pick / 2018,JackDo02,CAR
69,Gabe Jackson,32,G,5,2,335,6-3,Mississippi St.,7/12/1991,9,1,Oakland Raiders / 3rd / 81st pick / 2014,JackGa00,CAR
31,Lamar Jackson,25,CB,1,0,208,6-2,Nebraska,4/13/1998,3,0,,JackLa02,CAR
29,D'Shawn Jamison,24,CB,15,1,186,5-9,Texas,6/4/1999,Rook,1,,JamiDS00,CAR
44,J.J. Jansen,37,LS,17,0,235,6-2,Notre Dame,1/20/1986,14,1,,JansJ.00,CAR
66,Nash Jensen,24,RG,11,5,328,6-4,North Dakota St.,5/7/1999,Rook,2,,JensNa00,CAR
52,DJ Johnson,25,OLB,13,3,260,6-4,"Miami (FL),Oregon",10/21/1998,Rook,2,Carolina Panthers / 3rd / 80th pick / 2023,JohnDJ00,CAR
40,Deion Jones,29,LB,13,3,222,6-1,LSU,11/4/1994,7,2,Atlanta Falcons / 2nd / 52nd pick / 2016,JoneDe01,CAR
61,Ricky Lee,24,T,6,0,289,6-5,"North Carolina Central,North Carolina A&T",11/16/1999,Rook,0,,LeexRi00,CAR
46,Eku Leota,24,OLB,8,0,252,6-3,"Northwestern,Auburn",5/11/1999,Rook,1,,LeotEk00,CAR
20,David Long,25,CB,3,1,196,5-11,Michigan,2/6/1998,4,0,Los Angeles Rams / 3rd / 79th pick / 2019,LongDa02,CAR
49,Frankie Luvu,27,LILB,17,17,236,6-3,Washington St.,9/19/1996,5,7,,LuvuFr00,CAR
88,Terrace Marshall Jr.,23,WR,9,4,200,6-2,LSU,6/9/2000,2,1,Carolina Panthers / 2nd / 59th pick / 2021,MarsTe00,CAR
85,Jordan Matthews,31,TE,1,0,212,6-3,Vanderbilt,7/16/1992,9,0,Philadelphia Eagles / 2nd / 42nd pick / 2014,MattJo00,CAR
68,Cade Mays,24,G,16,5,325,6-6,"Georgia,Tennessee",4/26/1999,1,2,Carolina Panthers / 6th / 199th pick / 2022,MaysCa00,CAR
64,Justin McCray,31,G,4,2,320,6-3,Central Florida,5/31/1992,6,1,,McCrJu00,CAR
15,Jonathan Mingo,22,WR,15,14,220,6-2,Mississippi,4/20/2001,Rook,3,Carolina Panthers / 2nd / 39th pick / 2023,MingJo00,CAR
72,Taylor Moton,29,T,17,17,325,6-5,Western Michigan,8/18/1994,6,6,Carolina Panthers / 2nd / 64th pick / 2017,MotoTa00,CAR
37,AJ Parker,25,CB,1,0,178,5-11,Kansas St.,2/15/1998,2,0,,ParkAJ00,CAR
4,Eddy Piñeiro,28,K,15,0,190,5-11,"ASA College (FL),Florida",9/13/1995,4,3,,PineEd00,CAR
93,LaBryan Ray,26,DT,17,1,290,6-4,Alabama,12/5/1997,1,2,,RayxLa02,CAR
45,Giovanni Ricci,27,TE,5,0,240,6-3,Western Michigan,10/16/1996,2,0,,RiccGi00,CAR
22,Jammie Robinson,22,S,15,2,190,5-11,"South Carolina,Florida St.",1/24/2001,Rook,1,Carolina Panthers / 5th / 145th pick / 2023,RobiJa03,CAR
6,Miles Sanders,26,RB,16,5,210,5-11,Penn St.,5/1/1997,4,3,Philadelphia Eagles / 2nd / 53rd pick / 2019,SandMi01,CAR
74,David Sharpe,28,T,8,0,343,6-6,Florida,10/21/1995,6,0,Oakland Raiders / 4th / 129th pick / 2017,SharDa02,CAR
5,Laviska Shenault Jr.,25,WR,8,0,224,6-1,Colorado,10/5/1998,3,1,Jacksonville Jaguars / 2nd / 42nd pick / 2020,ShenLa00,CAR
11,Ihmir Smith-Marsette,24,WR,17,0,185,6-1,Iowa,8/29/1999,2,2,Minnesota Vikings / 5th / 157th pick / 2021,SmitIh00,CAR
86,Mike Strachan,26,WR,4,1,225,6-5,Charleston (WV),8/13/1997,2,0,Indianapolis Colts / 7th / 229th pick / 2021,StraMi03,CAR
84,Stephen Sullivan,27,TE,11,0,245,6-5,LSU,11/28/1996,3,1,Seattle Seahawks / 7th / 251st pick / 2020,SullSt00,CAR
19,Adam Thielen,33,WR,17,17,195,6-2,Minnesota St.,8/22/1990,9,8,,ThieAd00,CAR
80,Ian Thomas,27,TE,12,5,260,6-4,Indiana,6/6/1996,5,0,Carolina Panthers / 4th / 101st pick / 2018,ThomIa00,CAR
7,Shaq Thompson,29,LB,2,2,230,6-0,Washington,4/21/1994,8,1,Carolina Panthers / 1st / 25th pick / 2015,ThomSh01,CAR
76,Calvin Throckmorton,27,LG/RG,9,7,311,6-5,Oregon,8/16/1996,2,2,,ThroCa01,CAR
91,Nick Thurman,28,DE,17,0,305,6-4,Houston,6/12/1995,3,1,,ThurNi00,CAR
64,Brett Toth,27,G,3,1,304,6-6,Army,9/1/1996,3,0,,TothBr00,CAR
82,Tommy Tremble,23,TE,16,8,250,6-4,Notre Dame,6/2/2000,2,1,Carolina Panthers / 3rd / 83rd pick / 2021,TremTo00,CAR
99,Shy Tuttle,28,DT,17,17,300,6-3,Tennessee,10/20/1995,4,7,,TuttSh00,CAR
43,Luiji Vilain,25,LB,1,0,252,6-4,"Michigan,Wake Forest",3/10/1998,1,0,,VilaLu00,CAR
27,Sam Webb,25,S,1,0,195,6-2,Missouri Western St.,5/19/1998,1,0,,WebbSa00,CAR
96,DeShawn Williams,31,DT,16,10,295,6-1,Clemson,12/29/1992,7,5,,WillDe04,CAR
25,Xavier Woods,28,S,14,14,200,5-11,Louisiana Tech,7/26/1995,6,5,Dallas Cowboys / 6th / 191st pick / 2017,WoodXa00,CAR
50,Chandler Wooten,24,LB,8,0,230,6-3,Auburn,4/25/1999,1,1,,WootCh00,CAR
71,Chris Wormley,30,DE,5,0,300,6-5,Michigan,10/25/1993,6,0,Baltimore Ravens / 3rd / 74th pick / 2017,WormCh00,CAR
16,Matthew Wright,27,K,1,0,174,5-11,Central Florida,3/22/1996,3,0,,WrigMa00,CAR
9,Bryce Young,22,QB,16,16,204,5-10,Alabama,7/25/2001,Rook,6,Carolina Panthers / 1st / 1st pick / 2023,YounBr01,CAR
62,Chandler Zavala,24,G,10,7,322,6-3,"Fairmont St.,North Carolina St.",4/2/1999,Rook,2,Carolina Panthers / 4th / 114th pick / 2023,ZavaCh00,CAR
,Team Total,26.9,,17,,243.4,6-2.3,,,3.8,,,,CAR
