No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional,Team
94,Khalil Davis,27,DT,15,1,315,6-2,Nebraska,8/22/1996,3,2,Tampa Bay Buccaneers / 6th / 194th pick / 2020,DaviKh00,HOU
76,Austin Deculus,24,T,7,1,321,6-5,LSU,3/12/1999,1,1,Houston Texans / 6th / 205th pick / 2022,DecuAu00,HOU
63,Michael Deiter,27,OL,16,10,310,6-6,Wisconsin,9/3/1996,4,4,Miami Dolphins / 3rd / 78th pick / 2019,DeitMi00,HOU
3,Tank Dell,24,WR,11,8,165,5-10,"Alabama A&M,Independence (KS),Houston",10/29/1999,Rook,6,Houston Texans / 3rd / 69th pick / 2023,DellNa00,HOU
97,Michael Dogbe,27,DE,1,0,295,6-3,Temple,5/5/1996,4,0,Arizona Cardinals / 7th / 249th pick / 2019,DogbMi00,HOU
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,HOU
60,Dieter Eiselen,27,G,10,0,300,6-4,Yale,6/10/1996,3,1,,EiseDi00,HOU
15,Ka'imi Fairbairn,29,K,12,0,183,6-0,UCLA,1/29/1994,6,3,,FairKa01,HOU
77,George Fant,31,T,16,13,316,6-5,Western Kentucky,7/19/1992,7,7,,FantGe00,HOU
50,Kendrick Green,25,OL,4,3,310,6-3,Illinois,12/22/1998,2,1,Pittsburgh Steelers / 3rd / 87th pick / 2021,GreeKe02,HOU
52,Jonathan Greenard,26,RDE,15,15,259,6-3,"Louisville,Florida",5/25/1997,3,8,Houston Texans / 3rd / 90th pick / 2020,GreeJo04,HOU
0,Shaquill Griffin,28,RCB,10,6,198,6-0,Central Florida,7/20/1995,6,3,Seattle Seahawks / 3rd / 90th pick / 2017,GrifSh00,HOU
35,Jake Hansen,25,LB,14,0,230,6-1,Illinois,6/19/1998,1,1,,HansJa01,HOU
48,Christian Harris,22,LB,16,12,232,6-2,Alabama,1/16/2001,1,6,Houston Texans / 3rd / 75th pick / 2022,HarrCh06,HOU
67,Charlie Heck,27,T,6,4,315,6-8,North Carolina,11/20/1996,3,2,Houston Texans / 4th / 126th pick / 2020,HeckCh00,HOU
43,Neville Hewitt,30,LB,16,0,234,6-2,Marshall,4/6/1993,8,1,,HewiNe00,HOU
36,Brandon Hill,23,S,2,0,195,5-11,Pittsburgh,9/6/2000,Rook,0,Houston Texans / 7th / 248th pick / 2023,HillBr03,HOU
93,Kurt Hinish,24,DT,17,1,296,6-1,Notre Dame,4/27/1999,1,2,,HiniKu00,HOU
20,Ka'dar Hollman,29,CB,17,1,196,6-0,Toledo,9/18/1994,4,2,Green Bay Packers / 6th / 185th pick / 2019,HollKa00,HOU
92,Dylan Horton,23,DE,10,0,275,6-4,"New Mexico,TCU",8/21/2000,Rook,1,Houston Texans / 4th / 109th pick / 2023,HortDy00,HOU
30,DeAndre Houston-Carson,30,DB,11,5,203,6-1,William & Mary,4/13/1993,7,3,Chicago Bears / 6th / 185th pick / 2016,HousDe00,HOU
71,Tytus Howard,27,T,7,7,322,6-5,Alabama St.,5/23/1996,4,3,Houston Texans / 1st / 23rd pick / 2019,HowaTy00,HOU
55,Jerry Hughes,35,DE,17,2,254,6-2,TCU,8/13/1988,13,2,Indianapolis Colts / 1st / 31st pick / 2010,HughJe99,HOU
19,Xavier Hutchinson,23,WR,16,0,210,6-3,"Blinn College (TX),Iowa St.",6/1/2000,Rook,1,Houston Texans / 6th / 205th pick / 2023,HutcXa00,HOU
56,Kerry Hyder,32,DE,2,0,275,6-2,Texas Tech,5/2/1991,8,0,,HydeKe01,HOU
22,Kareem Jackson,35,CB,2,0,196,5-10,Alabama,4/10/1988,13,0,Houston Texans / 1st / 20th pick / 2010,JackKa99,HOU
88,Johnny Johnson,24,WR,1,0,199,6-1,Oregon,5/4/1999,1,0,,JohnJo12,HOU
11,Cameron Johnston,31,P,13,0,194,5-11,Ohio St.,2/24/1992,5,2,,JohnCa02,HOU
72,Josh Jones,26,T,13,3,339,6-5,Houston,6/22/1997,3,2,Arizona Cardinals / 3rd / 72nd pick / 2020,JoneJo07,HOU
9,Brevin Jordan,23,TE,14,6,245,6-3,Miami (FL),7/16/2000,2,2,Houston Texans / 5th / 147th pick / 2021,JordBr00,HOU
40,Dalton Keene,24,TE,1,0,251,6-4,Virginia Tech,4/14/1999,3,0,New England Patriots / 3rd / 101st pick / 2020,KeenDa00,HOU
18,Case Keenum,35,QB,2,2,215,6-1,Houston,2/17/1988,10,1,,KeenCa00,HOU
25,Desmond King,29,CB,7,3,201,5-10,Iowa,12/14/1994,6,1,Los Angeles Chargers / 5th / 151st pick / 2017,KingDe01,HOU
42,Cory Littleton,30,LB,9,0,225,6-3,Washington,11/18/1993,7,1,,LittCo01,HOU
69,Shaq Mason,30,G,17,17,310,6-1,Georgia Tech,8/28/1993,8,7,New England Patriots / 4th / 131st pick / 2015,MasoSh01,HOU
8,John Metchie,23,WR,16,0,195,6-0,Alabama,7/18/2000,1,1,Houston Texans / 2nd / 44th pick / 2022,MetcJo00,HOU
10,Davis Mills,25,QB,6,0,225,6-4,Stanford,10/21/1998,2,1,Houston Texans / 3rd / 67th pick / 2021,MillDa02,HOU
79,Jimmy Morrissey,25,C,1,0,305,6-4,Pittsburgh,6/9/1998,2,0,Las Vegas Raiders / 7th / 230th pick / 2021,MorrJi00,HOU
23,Eric Murray,29,S,6,4,199,5-11,Minnesota,1/7/1994,7,2,Kansas City Chiefs / 4th / 106th pick / 2016,MurrEr00,HOU
21,Steven Nelson,30,CB,17,16,194,5-11,Oregon St.,1/22/1993,8,7,Kansas City Chiefs / 3rd / 98th pick / 2015,NelsSt01,HOU
33,Dare Ogunbowale,29,RB,12,0,205,5-10,Wisconsin,5/4/1994,6,0,,OgunDa00,HOU
68,Jarrett Patterson,24,OL,7,7,310,6-4,Notre Dame,9/1/1999,Rook,3,Houston Texans / 6th / 201st pick / 2023,PattJa03,HOU
6,Denzel Perryman,31,LB,12,11,240,5-11,Miami (FL),12/5/1992,8,5,San Diego Chargers / 2nd / 48th pick / 2015,PerrDe00,HOU
31,Dameon Pierce,23,RB,14,7,215,5-10,Florida,2/19/2000,1,4,Houston Texans / 4th / 107th pick / 2022,PierDa01,HOU
5,Jalen Pitre,24,S,15,15,200,6-0,Baylor,6/3/1999,1,6,Houston Texans / 2nd / 37th pick / 2022,PitrJa00,HOU
84,Teagan Quitoriano,23,TE,7,5,258,6-6,Oregon St.,3/15/2000,1,0,Houston Texans / 5th / 170th pick / 2022,QuitTe00,HOU
98,Sheldon Rankins,29,DT,15,15,305,6-2,Louisville,4/2/1994,7,8,New Orleans Saints / 1st / 12th pick / 2016,RankSh00,HOU
91,Hassan Ridgeway,29,DT,3,1,305,6-3,Texas,11/2/1994,7,1,Indianapolis Colts / 4th / 116th pick / 2016,RidgHa00,HOU
37,D'Angelo Ross,27,CB,13,0,190,5-9,New Mexico,10/29/1996,2,1,,RossDA03,HOU
41,Myjai Sanders,25,DE,7,0,248,6-5,Cincinnati,7/12/1998,1,1,Arizona Cardinals / 3rd / 100th pick / 2022,SandMy00,HOU
81,Eric Saubert,29,TE,9,1,248,6-5,Drake,5/1/1994,6,0,Atlanta Falcons / 5th / 174th pick / 2017,SaubEr00,HOU
86,Dalton Schultz,27,TE,15,8,242,6-5,Stanford,7/11/1996,5,5,Dallas Cowboys / 4th / 137th pick / 2018,SchuDa00,HOU
70,Juice Scruggs,23,OL,7,6,310,6-3,Penn St.,1/19/2000,Rook,2,Houston Texans / 2nd / 62nd pick / 2023,ScruJu00,HOU
82,Steven Sims,26,WR,3,0,176,5-10,Kansas,3/31/1997,4,0,,SimsSt00,HOU
26,Devin Singletary,26,RB,17,10,203,5-7,Florida Atlantic,9/3/1997,4,7,Buffalo Bills / 3rd / 74th pick / 2019,SingDe00,HOU
29,M.J. Stewart,28,S,8,1,205,5-11,North Carolina,9/16/1995,5,1,Tampa Bay Buccaneers / 2nd / 53rd pick / 2018,StewM.00,HOU
24,Derek Stingley Jr.,22,CB,11,11,195,6-1,LSU,6/20/2001,1,5,Houston Texans / 1st / 3rd pick / 2022,StinDe00,HOU
7,C.J. Stroud,22,QB,15,15,218,6-3,Ohio St.,10/3/2001,Rook,14,Houston Texans / 1st / 2nd pick / 2023,StroCJ00,HOU
97,Teair Tart,26,DT,2,0,315,6-2,Florida International,2/28/1997,3,0,,TartTe00,HOU
4,Tavierre Thomas,27,CB,9,5,205,5-10,Ferris St.,3/11/1996,5,2,,ThomTa01,HOU
39,Henry To'oTo'o,22,LB,14,6,228,6-2,"Tennessee,Alabama",1/5/2001,Rook,4,Houston Texans / 5th / 167th pick / 2023,TooTHe00,HOU
78,Laremy Tunsil,29,T,14,14,313,6-5,Mississippi,8/2/1994,7,9,Miami Dolphins / 1st / 13th pick / 2016,TunsLa00,HOU
32,Garret Wallow,24,LB,2,0,230,6-2,TCU,1/25/1999,2,0,Houston Texans / 5th / 170th pick / 2021,WallGa00,HOU
1,Jimmie Ward,32,S,10,10,193,5-11,Northern Illinois,7/18/1991,9,4,San Francisco 49ers / 1st / 30th pick / 2014,WardJi01,HOU
46,Jon Weeks,37,LS,17,0,242,5-10,Baylor,2/17/1986,13,1,,WeekJo00,HOU
2,Robert Woods,31,WR,14,11,193,6-0,USC,4/10/1992,10,4,Buffalo Bills / 2nd / 41st pick / 2013,WoodRo02,HOU
16,Ty Zentner,25,K,4,0,199,6-2,"Butler (KS),Kansas St.",6/7/1998,Rook,0,,ZentTy00,HOU
,Team Total,26.9,,17,,242.7,6-1.6,,,4.1,,,,HOU
