No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional,Team
91,Trey Hendrickson,29,DE,17,17,270,6-4,Florida Atlantic,12/5/1994,6,11,New Orleans Saints / 3rd / 103rd pick / 2017,HendTr00,CIN
5,Tee Higgins,24,WR,12,11,219,6-4,Clemson,1/18/1999,3,6,Cincinnati Bengals / 2nd / 33rd pick / 2020,HiggTe00,CIN
92,B.J. Hill,28,DT,17,17,311,6-3,North Carolina St.,4/20/1995,5,8,New York Giants / 3rd / 69th pick / 2018,HillB.00,CIN
23,Daxton Hill,23,S,17,17,191,6-0,Michigan,9/29/2000,1,6,Cincinnati Bengals / 1st / 31st pick / 2022,HillDa04,CIN
21,Mike Hilton,29,CB,17,13,184,5-9,Mississippi,3/9/1994,6,5,,HiltMi01,CIN
94,Sam Hubbard,28,DE,15,15,265,6-5,Ohio St.,6/23/1995,5,7,Cincinnati Bengals / 3rd / 77th pick / 2018,HubbSa00,CIN
87,Tanner Hudson,29,TE,12,1,239,6-5,Southern Arkansas,11/12/1994,4,3,,HudsTa00,CIN
80,Andrei Iosivas,24,WR,16,1,205,6-3,Princeton,10/15/1999,Rook,1,Cincinnati Bengals / 6th / 206th pick / 2023,IosiAn00,CIN
16,Trenton Irwin,28,WR,16,5,200,6-2,Stanford,12/10/1995,4,3,,IrwiTr00,CIN
38,DJ Ivey,23,CB,8,0,192,6-1,Miami (FL),2/25/2000,Rook,1,Cincinnati Bengals / 7th / 246th pick / 2023,IveyDJ00,CIN
12,Shedrick Jackson,24,WR,5,0,195,6-1,Auburn,10/20/1999,Rook,0,,JackSh01,CIN
15,Charlie Jones,25,WR,11,0,183,6-0,"Buffalo,Iowa,Purdue",10/29/1998,Rook,2,Cincinnati Bengals / 4th / 131st pick / 2023,JoneCh11,CIN
24,Sidney Jones,27,CB,3,0,181,6-0,Washington,5/21/1996,6,0,Philadelphia Eagles / 2nd / 43rd pick / 2017,JoneSi00,CIN
64,Ted Karras,30,C,17,17,310,6-4,Illinois,3/15/1993,7,7,New England Patriots / 6th / 221st pick / 2016,KarrTe00,CIN
18,Kwamie Lassiter II,25,WR,1,0,185,5-11,Kansas,1/21/1998,1,0,,LassKw00,CIN
4,A.J. McCarron,33,QB,2,0,220,6-3,Alabama,9/13/1990,8,0,Cincinnati Bengals / 5th / 164th pick / 2014,McCaA.00,CIN
2,Evan McPherson,24,K,17,0,185,5-11,Florida,7/21/1999,2,4,Cincinnati Bengals / 5th / 149th pick / 2021,McPhEv00,CIN
28,Joe Mixon,27,RB,17,17,220,6-1,Oklahoma,7/24/1996,6,10,Cincinnati Bengals / 2nd / 48th pick / 2017,MixoJo00,CIN
17,Stanley Morgan Jr.,27,WR,3,0,205,6-0,Nebraska,9/7/1996,4,0,,MorgSt02,CIN
99,Myles Murphy,21,DE,17,0,270,6-5,Clemson,1/3/2002,Rook,1,Cincinnati Bengals / 1st / 28th pick / 2023,MurpMy00,CIN
58,Joseph Ossai,23,DE,14,0,263,6-4,Texas,4/13/2000,1,1,Cincinnati Bengals / 3rd / 69th pick / 2021,OssaJo00,CIN
57,Germaine Pratt,27,LB,17,17,250,6-3,North Carolina St.,5/21/1996,4,8,Cincinnati Bengals / 3rd / 72nd pick / 2019,PratGe00,CIN
98,D.J. Reader,29,DT,14,14,335,6-3,Clemson,7/1/1994,7,6,Houston Texans / 5th / 166th pick / 2016,ReadD.00,CIN
10,Brad Robbins,25,P,17,0,205,6-1,Michigan,10/6/1998,Rook,1,Cincinnati Bengals / 6th / 217th pick / 2023,RobbBr00,CIN
96,Cameron Sample,24,DE,17,2,272,6-3,Tulane,9/20/1999,2,2,Cincinnati Bengals / 4th / 111th pick / 2021,SampCa00,CIN
89,Drew Sample,27,TE,17,10,255,6-5,Washington,4/16/1996,4,1,Cincinnati Bengals / 2nd / 52nd pick / 2019,SampDr00,CIN
74,Max Scharping,27,G,17,0,325,6-6,Northern Illinois,8/10/1996,4,1,Houston Texans / 2nd / 55th pick / 2019,SchaMa01,CIN
33,Nick Scott,28,S,17,10,200,5-11,Penn St.,5/17/1995,4,4,Los Angeles Rams / 7th / 243rd pick / 2019,ScotNi01,CIN
81,Irv Smith Jr.,25,TE,12,6,240,6-2,Alabama,8/9/1998,4,1,Minnesota Vikings / 2nd / 50th pick / 2019,SmitIr01,CIN
29,Cam Taylor-Britt,24,CB,12,12,202,5-11,Nebraska,10/15/1999,1,5,Cincinnati Bengals / 2nd / 60th pick / 2022,TaylCa01,CIN
97,Jay Tufele,24,DT,10,0,305,6-3,USC,7/25/1999,2,1,Jacksonville Jaguars / 4th / 106th pick / 2021,TufeJa00,CIN
68,Josh Tupou,29,DT,14,1,350,6-3,Colorado,5/2/1994,6,1,,TupoJo00,CIN
20,DJ Turner,23,CB,17,12,180,5-11,Michigan,11/9/2000,Rook,4,Cincinnati Bengals / 2nd / 60th pick / 2023,TurnDJ01,CIN
67,Cordell Volson,25,G,17,17,315,6-6,North Dakota St.,7/20/1998,1,7,Cincinnati Bengals / 4th / 136th pick / 2022,VolsCo02,CIN
84,Mitchell Wilcox,27,TE,17,4,250,6-4,South Florida,11/7/1996,2,1,,WilcMi01,CIN
73,Jonah Williams,26,T,17,17,312,6-5,Alabama,11/17/1997,3,9,Cincinnati Bengals / 1st / 11th pick / 2019,WillJo10,CIN
32,Trayveon Williams,26,RB,17,0,206,5-8,Texas A&M,10/18/1997,4,1,Cincinnati Bengals / 6th / 182nd pick / 2019,WillTr06,CIN
55,Logan Wilson,27,LB,17,17,245,6-2,Wyoming,7/8/1996,3,8,Cincinnati Bengals / 3rd / 65th pick / 2020,WilsLo00,CIN
,Team Total,26,,17,,240.9,6-2.0,,,3.0,,,,CIN
