No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,Team
34,Jalen Thompson,25,S,15,15,190,5-11,Washington St.,7/18/1998,4,5,Arizona Cardinals / 5th / 1st pick / 2019 Supp,ThomJa04,ARI
15,Clayton Tune,24,QB,7,1,220,6-3,Houston,3/23/1999,Rook,0,Arizona Cardinals / 5th / 139th pick / 2023,TuneCl00,ARI
47,Zeke Turner,27,LB,16,1,214,6-2,Washington,6/9/1996,5,1,,TurnZe00,ARI
81,Travis Vokolek,25,TE,2,0,260,6-6,"Rutgers,Nebraska",6/4/1998,Rook,0,,VokoTr00,ARI
22,K'Von Wallace,26,FS,7,5,205,5-11,Clemson,7/25/1997,3,2,Philadelphia Eagles / 4th / 127th pick / 2020,WallKV00,ARI
94,Carlos Watkins,30,DT,2,1,305,6-3,Clemson,12/5/1993,6,0,Houston Texans / 4th / 142nd pick / 2017,WatkCa00,ARI
7,Kyzir White,27,LB,11,11,234,6-2,West Virginia,3/24/1996,5,4,Los Angeles Chargers / 4th / 119th pick / 2018,WhitKy00,ARI
89,Blake Whiteheart,23,TE,2,0,247,6-4,Wake Forest,3/22/2000,Rook,0,,WhitBl01,ARI
65,Elijah Wilkinson,28,OL,10,9,314,6-6,Massachusetts,2/10/1995,6,4,,WilkEl00,ARI
29,Damien Williams,31,RB,3,0,221,5-11,Oklahoma,4/3/1992,9,0,,WillDa05,ARI
21,Garrett Williams,22,CB,9,6,192,5-10,Syracuse,6/1/2001,Rook,2,Arizona Cardinals / 3rd / 72nd pick / 2023,WillGa00,ARI
27,Divaad Wilson,23,CB,2,1,195,6-0,"Georgia,Central Florida",1/26/2000,Rook,0,,WilsDi00,ARI
20,Marco Wilson,24,RCB,15,11,191,6-0,Florida,3/3/1999,2,3,Arizona Cardinals / 4th / 136th pick / 2021,WilsMa04,ARI
14,Michael Wilson,23,WR,13,12,213,6-2,Stanford,2/23/2000,Rook,6,Arizona Cardinals / 3rd / 94th pick / 2023,WilsMi02,ARI
10,Josh Woods,27,LB,11,7,230,6-1,Maryland,7/1/1996,4,3,,WoodJo02,ARI
,Team Total,26.1,,17,,242.6,6-1.7,,,3.1,,,,ARI
