No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional,Team
99,Jeremiah Ledbetter,29,DL,17,2,299,6-3,Arkansas,6/2/1994,6,2,Detroit Lions / 6th / 205th pick / 2017,LedbJe00,JAX
72,Walker Little,24,OL,14,11,325,6-7,Stanford,4/1/1999,2,5,Jacksonville Jaguars / 2nd / 45th pick / 2021,LittWa00,JAX
33,Devin Lloyd,25,LB,15,15,235,6-3,Utah,9/30/1998,1,7,Jacksonville Jaguars / 1st / 27th pick / 2022,LloyDe00,JAX
46,Ross Matiscik,27,LS,17,0,240,6-0,Baylor,9/13/1996,3,2,,MatiRo00,JAX
10,Brandon McManus,32,K,17,0,201,6-3,Temple,7/25/1991,9,3,,McMaBr01,JAX
48,Chad Muma,24,LB,17,2,239,6-3,Wyoming,8/18/1999,1,2,Jacksonville Jaguars / 3rd / 70th pick / 2022,MumaCh00,JAX
23,Foyesade Oluokun,28,LB,17,17,230,6-2,Yale,8/2/1995,5,9,Atlanta Falcons / 6th / 200th pick / 2018,OluoFo00,JAX
27,Amani Oruwariye,27,CB,1,0,200,6-2,Penn St.,2/9/1996,4,0,Detroit Lions / 5th / 146th pick / 2019,OruwAm00,JAX
87,Josh Pederson,26,TE,3,0,235,6-5,La-Monroe,9/9/1997,1,0,,PedeJo00,JAX
50,Shaquille Quarterman,26,LB,17,0,234,6-0,Miami (FL),10/28/1997,3,1,Jacksonville Jaguars / 4th / 140th pick / 2020,QuarSh00,JAX
0,Calvin Ridley,29,WR,17,17,190,6-1,Alabama,12/20/1994,5,9,Atlanta Falcons / 1st / 26th pick / 2018,RidlCa00,JAX
95,Roy Robertson-Harris,30,DL,17,17,290,6-5,Texas-El Paso,7/23/1993,6,7,,RobeRo00,JAX
74,Cam Robinson,28,OL,9,9,335,6-6,Alabama,10/9/1995,6,4,Jacksonville Jaguars / 2nd / 34th pick / 2017,RobiCa00,JAX
68,Brandon Scherff,32,OL,17,17,315,6-5,Iowa,12/26/1991,8,8,Washington Redskins / 1st / 5th pick / 2015,ScheBr00,JAX
69,Tyler Shatley,32,OL,17,6,305,6-3,Clemson,5/5/1991,9,4,,ShatTy00,JAX
91,Dawuane Smoot,28,OLB,12,0,264,6-3,Illinois,3/2/1995,6,1,Jacksonville Jaguars / 3rd / 68th pick / 2017,SmooDa00,JAX
85,Brenton Strange,23,TE,14,4,253,6-4,Penn St.,12/27/2000,Rook,0,Jacksonville Jaguars / 2nd / 61st pick / 2023,StraBr00,JAX
20,Daniel Thomas,25,S,15,0,215,5-10,Auburn,7/1/1998,3,1,Jacksonville Jaguars / 5th / 157th pick / 2020,ThomDa07,JAX
70,Cole Van Lanen,25,OL,9,0,312,6-5,Wisconsin,4/23/1998,2,1,Green Bay Packers / 6th / 214th pick / 2021,VanxCo00,JAX
44,Travon Walker,23,OLB,17,17,272,6-5,Georgia,12/18/2000,1,8,Jacksonville Jaguars / 1st / 1st pick / 2022,WalkTr03,JAX
11,Parker Washington,21,WR,9,1,204,5-10,Penn St.,3/21/2002,Rook,1,Jacksonville Jaguars / 6th / 185th pick / 2023,WashPa01,JAX
31,Darious Williams,30,LCB,17,17,192,5-9,Ala-Birmingham,3/15/1993,5,7,,WillDa09,JAX
42,Andrew Wingard,27,S,17,2,200,6-0,Wyoming,12/5/1996,4,2,,WingAn01,JAX
,Team Total,26.4,,17,,245.1,6-2.3,,,3.4,,,,JAX
