No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional,Team
85,Cole Kmet,24,TE,17,17,260,6-6,Notre Dame,3/10/1999,3,7,Chicago Bears / 2nd / 43rd pick / 2020,KmetCo00,CHI
68,Doug Kramer,25,OL,2,0,300,6-2,Illinois,6/4/1998,1,0,Chicago Bears / 6th / 207th pick / 2022,KramDo00,CHI
84,Marcedes Lewis,39,TE,17,4,267,6-6,UCLA,5/19/1984,17,0,Jacksonville Jaguars / 1st / 28th pick / 2006,LewiMa00,CHI
46,Christian Matthew,27,DB,2,0,197,6-2,"Georgia Southern,Samford,Valdosta St.",10/26/1996,1,0,Arizona Cardinals / 7th / 244th pick / 2022,MattCh01,CHI
11,Darnell Mooney,26,WR,15,14,177,5-11,Tulane,10/29/1997,3,4,Chicago Bears / 5th / 173rd pick / 2020,MoonDa00,CHI
2,D.J. Moore,26,WR,17,17,210,5-11,Maryland,4/14/1997,5,13,Carolina Panthers / 1st / 24th pick / 2018,MoorD.00,CHI
91,Yannick Ngakoue,28,DL,13,13,246,6-2,Maryland,3/31/1995,7,6,Jacksonville Jaguars / 3rd / 69th pick / 2016,NgakYa00,CHI
62,Lucas Patrick,30,OL,16,15,313,6-3,Duke,7/30/1993,6,7,,PatrLu00,CHI
14,Nathan Peterman,29,QB,2,0,225,6-2,"Tennessee,Pittsburgh",5/4/1994,6,0,Buffalo Bills / 5th / 171st pick / 2017,PeteNa00,CHI
96,Zacch Pickens,23,DL,17,0,300,6-4,South Carolina,3/6/2000,Rook,1,Chicago Bears / 3rd / 64th pick / 2023,PickZa00,CHI
90,Dominique Robinson,25,DL,11,0,253,6-5,Miami (OH),7/2/1998,1,1,Chicago Bears / 5th / 174th pick / 2022,RobiDo00,CHI
57,Jack Sanborn,23,LB,17,10,234,6-2,Wisconsin,7/29/2000,1,5,,SanbJa00,CHI
8,Cairo Santos,32,K,17,0,175,5-8,Tulane,11/12/1991,9,4,,SantCa01,CHI
48,Patrick Scales,35,LS,17,0,226,6-3,Utah St.,2/11/1988,9,1,,ScalPa00,CHI
13,Tyler Scott,22,WR,17,4,185,5-11,Cincinnati,10/12/2001,Rook,2,Chicago Bears / 4th / 133rd pick / 2023,ScotTy00,CHI
44,Noah Sewell,21,LB,13,0,253,6-2,Oregon,4/26/2002,Rook,1,Chicago Bears / 5th / 148th pick / 2023,SeweNo00,CHI
32,Terell Smith,24,DB,12,4,207,6-0,Minnesota,7/27/1999,Rook,2,Chicago Bears / 5th / 165th pick / 2023,SmitTe05,CHI
19,Equanimeous St. Brown,27,WR,7,2,214,6-5,Notre Dame,9/30/1996,5,1,Green Bay Packers / 6th / 207th pick / 2018,St.BEq00,CHI
29,Tyrique Stevenson,23,DB,16,16,204,6-0,"Georgia,Miami (FL)",5/26/2000,Rook,6,Chicago Bears / 2nd / 56th pick / 2023,StevTy01,CHI
27,Greg Stroman,27,DB,7,1,180,5-11,Virginia Tech,3/8/1996,5,1,Washington Redskins / 7th / 241st pick / 2018,StroGr00,CHI
98,Montez Sweat,27,DL,9,9,262,6-6,"Michigan St.,Copiah-Lincoln CC,Mississippi St.",9/4/1996,4,7,Washington Redskins / 1st / 26th pick / 2019,SweaMo00,CHI
15,Trent Taylor,29,WR,17,0,178,5-8,Louisiana Tech,4/30/1994,6,0,San Francisco 49ers / 5th / 177th pick / 2017,TaylTr02,CHI
38,A.J. Thomas,24,S,1,0,215,6-2,Western Michigan,9/18/1999,1,0,,ThomAJ00,CHI
18,Robert Tonyan,29,TE,17,6,240,6-5,Indiana St.,4/30/1994,5,1,,TonyRo00,CHI
95,DeMarcus Walker,29,DL,17,12,280,6-4,Florida St.,9/30/1994,6,6,Denver Broncos / 2nd / 51st pick / 2017,WalkDe03,CHI
65,Cody Whitehair,31,LG,17,11,316,6-3,Kansas St.,7/11/1992,7,6,Chicago Bears / 2nd / 56th pick / 2016,WhitCo03,CHI
30,Joejuan Williams,26,CB,4,0,212,6-3,Vanderbilt,12/6/1997,4,0,New England Patriots / 2nd / 45th pick / 2019,WillJo13,CHI
58,Darnell Wright,22,OL,17,17,333,6-6,Tennessee,8/10/2001,Rook,8,Chicago Bears / 1st / 10th pick / 2023,WrigDa00,CHI
,Team Total,26.2,,17,,241.1,6-2.0,,,3.4,,,,CHI
