No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional,Team
85,Cole Fotheringham,26,TE,2,0,243,6-4,Utah,10/11/1997,1,0,,FothCo00,LVR
10,Jimmy Garoppolo,32,QB,7,6,225,6-2,Eastern Illinois,11/2/1991,9,2,New England Patriots / 2nd / 62nd pick / 2014,GaroJi00,LVR
88,Zach Gentry,27,TE,1,0,265,6-8,Michigan,9/10/1996,4,0,Pittsburgh Steelers / 5th / 141st pick / 2019,GentZa00,LVR
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,LVR
65,Hroniss Grasu,32,C,2,0,301,6-3,Oregon,8/12/1991,8,0,Chicago Bears / 3rd / 71st pick / 2015,GrasHr00,LVR
37,Tyler Hall,25,CB,11,3,190,5-10,Wyoming,10/31/1998,3,1,,HallTy01,LVR
71,Justin Herron,28,T,6,1,290,6-5,Wake Forest,11/27/1995,3,1,New England Patriots / 6th / 195th pick / 2020,HerrJu00,LVR
39,Nate Hobbs,24,CB,13,11,195,6-0,Illinois,6/24/1999,2,4,Las Vegas Raiders / 5th / 167th pick / 2021,HobbNa00,LVR
81,Austin Hooper,29,TE,17,9,254,6-4,Stanford,10/29/1994,7,2,Atlanta Falcons / 3rd / 81st pick / 2016,HoopAu00,LVR
80,Jesper Horsted,26,TE,13,0,237,6-3,Princeton,2/27/1997,4,0,,HorsJe00,LVR
7,Brian Hoyer,38,QB,3,1,215,6-2,Michigan St.,10/13/1985,14,1,,HoyeBr00,LVR
8,Josh Jacobs,25,RB,13,13,223,5-10,Alabama,2/11/1998,4,6,Oakland Raiders / 1st / 24th pick / 2019,JacoJo01,LVR
68,Andre James,26,C,16,16,300,6-4,UCLA,5/2/1997,4,6,,JameAn01,LVR
95,John Jenkins,34,DT,17,17,327,6-3,"Mississippi Gulf Coast CC,Georgia",7/11/1989,10,8,New Orleans Saints / 3rd / 82nd pick / 2013,JenkJo00,LVR
45,Jakob Johnson,29,FB,13,5,255,6-3,Tennessee,12/15/1994,4,0,,JohnJa12,LVR
18,Jack Jones,26,CB,7,3,175,5-11,"USC,Moorpark College,Arizona St.",12/20/1997,1,2,New England Patriots / 4th / 121st pick / 2022,JoneJa10,LVR
51,Malcolm Koonce,25,DE,17,11,250,6-3,Buffalo,6/6/1998,2,6,Las Vegas Raiders / 3rd / 79th pick / 2021,KoonMa00,LVR
23,David Long,25,DB,8,1,196,5-11,Michigan,2/6/1998,4,1,Los Angeles Rams / 3rd / 79th pick / 2019,LongDa02,LVR
59,Luke Masterson,25,LB,16,1,220,6-1,Wake Forest,1/7/1998,1,2,,MastLu00,LVR
43,Kana'i Mauga,23,LB,5,0,245,6-2,USC,1/8/2000,1,0,,MaugKa00,LVR
87,Michael Mayer,22,TE,14,12,265,6-4,Notre Dame,7/6/2001,Rook,3,Las Vegas Raiders / 2nd / 35th pick / 2023,MayeMi00,LVR
61,Jordan Meredith,25,G,17,1,300,6-2,Western Kentucky,1/4/1998,1,1,,MereJo00,LVR
16,Jakobi Meyers,27,WR,16,16,200,6-2,North Carolina St.,11/9/1996,4,7,,MeyeJa01,LVR
74,Kolton Miller,28,T,13,11,325,6-8,UCLA,9/2/1995,5,5,Oakland Raiders / 1st / 15th pick / 2018,MillKo00,LVR
25,Tre'von Moehrig,24,S,17,17,202,6-2,TCU,6/16/1999,2,6,Las Vegas Raiders / 2nd / 43rd pick / 2021,MoehTr00,LVR
77,Thayer Munford,24,T,15,10,315,6-6,Ohio St.,9/18/1999,1,5,Las Vegas Raiders / 7th / 238th pick / 2022,MunfTh00,LVR
54,Netane Muti,24,G,2,0,315,6-3,Fresno St.,3/27/1999,3,0,Denver Broncos / 6th / 181st pick / 2020,MutiNe00,LVR
91,Bilal Nichols,27,LDT,17,17,313,6-4,Delaware,9/14/1996,5,8,Chicago Bears / 5th / 145th pick / 2018,NichBi00,LVR
4,Aidan O'Connell,25,QB,11,10,210,6-3,Purdue,9/1/1998,Rook,6,Las Vegas Raiders / 4th / 135th pick / 2023,OConAi00,LVR
66,Dylan Parham,24,G,17,17,285,6-3,Memphis,8/24/1999,1,6,Las Vegas Raiders / 3rd / 90th pick / 2022,ParhDy00,LVR
75,Brandon Parker,28,T,5,1,320,6-8,North Carolina A&T,10/21/1995,5,1,Oakland Raiders / 3rd / 65th pick / 2018,ParkBr01,LVR
24,Marcus Peters,30,RCB,12,12,197,6-0,Washington,1/9/1993,8,5,Kansas City Chiefs / 1st / 18th pick / 2015,PeteMa00,LVR
20,Isaiah Pola-Mao,24,S,16,0,205,6-4,USC,6/30/1999,1,1,,PolaIs00,LVR
27,Troy Pride Jr.,25,CB,1,0,195,5-11,Notre Dame,1/19/1998,3,0,Carolina Panthers / 4th / 113th pick / 2020,PridTr00,LVR
52,Malik Reed,27,DB,4,2,245,6-2,Nevada,8/5/1996,4,1,,ReedMa01,LVR
13,Hunter Renfrow,28,WR,17,3,185,5-10,Clemson,12/21/1995,4,2,Oakland Raiders / 5th / 149th pick / 2019,RenfHu00,LVR
21,Amik Robertson,25,CB,17,12,183,5-9,Louisiana Tech,7/6/1998,3,5,Las Vegas Raiders / 4th / 139th pick / 2020,RobeAm00,LVR
97,Janarius Robinson,24,DE,6,2,260,6-5,Florida St.,5/5/1999,1,1,Minnesota Vikings / 4th / 134th pick / 2021,RobiJa04,LVR
96,Isaac Rochell,28,DE,8,1,280,6-4,Notre Dame,4/22/1995,6,1,Los Angeles Chargers / 7th / 225th pick / 2017,RochIs00,LVR
99,Nesta Jade Silvera,23,DT,2,0,315,6-2,"Miami (FL),Arizona St.",1/23/2000,Rook,0,Las Vegas Raiders / 7th / 231st pick / 2023,JadeNe00,LVR
29,Christopher Smith,23,S,12,0,195,5-11,Georgia,5/1/2000,Rook,1,Las Vegas Raiders / 5th / 170th pick / 2023,SmitCh04,LVR
15,Jaylon Smith,28,LB,1,0,240,6-2,Notre Dame,6/14/1995,6,0,Dallas Cowboys / 2nd / 34th pick / 2016,SmitJa05,LVR
41,Robert Spillane,28,LB,17,17,229,6-1,Western Michigan,12/14/1995,5,9,,SpilRo00,LVR
33,Roderic Teamer,26,S,6,0,205,6-0,Tulane,5/12/1997,4,0,,TeamRo00,LVR
90,Jerry Tillery,27,RDE,17,6,295,6-6,Notre Dame,10/8/1996,4,4,Los Angeles Chargers / 1st / 28th pick / 2019,TillJe00,LVR
11,Tre Tucker,22,WR,16,1,185,5-9,Cincinnati,3/8/2001,Rook,3,Las Vegas Raiders / 3rd / 100th pick / 2023,TuckTr00,LVR
19,DJ Turner,26,WR,10,0,205,5-9,"Maryland,Pittsburgh",1/18/1997,1,0,,TurnDJ00,LVR
70,Greg Van Roten,33,G,17,17,295,6-4,Pennsylvania,2/26/1990,11,6,,VanRGr00,LVR
35,Zamir White,24,RB,17,4,215,6-0,Georgia,9/18/1999,1,4,Las Vegas Raiders / 4th / 122nd pick / 2022,WhitZa01,LVR
83,Kristian Wilkerson,26,WR,2,1,214,6-1,SE Missouri St.,1/10/1997,3,0,,WilkKr00,LVR
9,Tyree Wilson,23,DE,17,0,275,6-6,"Texas A&M,Texas Tech",5/20/2000,Rook,2,Las Vegas Raiders / 1st / 7th pick / 2023,WilsTy01,LVR
93,Byron Young,23,DT,6,0,292,6-3,Alabama,11/10/2000,Rook,0,Las Vegas Raiders / 3rd / 70th pick / 2023,YounBy00,LVR
,Team Total,26.7,,17,,242.8,6-2.1,,,3.7,,,,LVR
