No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,Team
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,DET
2,C.J. Gardner-Johnson,26,DB,3,2,210,5-11,Florida,12/20/1997,4,1,New Orleans Saints / 4th / 105th pick / 2019,GardCh00,DET
26,Jahmyr Gibbs,21,RB,15,3,200,5-9,"Georgia Tech,Alabama",3/20/2002,Rook,10,Detroit Lions / 1st / 12th pick / 2023,GibbJa01,DET
24,Steven Gilmore,24,CB,3,0,174,6-0,Marshall,9/17/1999,Rook,0,,GilmSt01,DET
60,Graham Glasgow,31,OL,17,15,315,6-6,Michigan,7/19/1992,7,7,Detroit Lions / 3rd / 95th pick / 2016,GlasGr00,DET
16,Jared Goff,29,QB,17,17,217,6-4,California,10/14/1994,7,16,Los Angeles Rams / 1st / 1st pick / 2016,GoffJa00,DET
80,Antoine Green,24,WR,9,0,199,6-2,North Carolina,11/15/1999,Rook,0,Detroit Lions / 7th / 219th pick / 2023,GreeAn00,DET
53,Charles Harris,28,DL,13,3,250,6-3,Missouri,3/6/1995,6,2,Miami Dolphins / 1st / 22nd pick / 2017,HarrCh03,DET
25,Will Harris,28,CB,17,2,206,6-1,Boston Col.,12/19/1995,4,2,Detroit Lions / 3rd / 81st pick / 2019,HarrWi02,DET
41,James Houston,25,LB,2,1,245,6-1,"Florida,Jackson St.",11/16/1998,1,0,Detroit Lions / 6th / 217th pick / 2022,HousJa01,DET
97,Aidan Hutchinson,23,DL,17,17,268,6-7,Michigan,8/9/2000,1,10,Detroit Lions / 1st / 2nd pick / 2022,HutcAi00,DET
35,Mohamed Ibrahim,25,RB,1,0,210,5-10,Minnesota,9/8/1998,Rook,0,,IbraMo00,DET
51,Bruce Irvin,36,LB,2,0,250,6-3,"Butler (KS),West Virginia",11/1/1987,11,0,Seattle Seahawks / 1st / 15th pick / 2012,IrviBr00,DET
73,Jonah Jackson,26,LG,12,12,315,6-4,"Rutgers,Ohio St.",2/5/1997,3,5,Detroit Lions / 3rd / 75th pick / 2020,JackJo03,DET
23,Jerry Jacobs,26,CB,15,12,203,5-11,"Hutchinson (KS),Arkansas",9/26/1997,2,4,,JacoJe00,DET
94,Benito Jones,26,DL,17,15,335,6-1,Mississippi,11/27/1997,3,6,,JoneBe03,DET
0,Marvin Jones,33,WR,6,4,199,6-2,California,3/12/1990,11,0,Cincinnati Bengals / 5th / 166th pick / 2012,JoneMa02,DET
40,Brandon Joseph,22,S,2,0,200,6-0,"Northwestern,Notre Dame",2/5/2001,Rook,0,,JoseBr00,DET
31,Kerby Joseph,23,S,15,15,203,6-1,Illinois,11/14/2000,1,5,Detroit Lions / 3rd / 97th pick / 2022,JoseKe03,DET
28,Zonovan Knight,22,RB,2,0,209,5-11,North Carolina St.,4/11/2001,1,0,,KnigZo00,DET
87,Sam LaPorta,22,TE,17,14,245,6-3,Iowa,1/12/2001,Rook,9,Detroit Lions / 2nd / 34th pick / 2023,LaPoSa01,DET
27,Chase Lucas,26,CB,12,0,184,5-11,Arizona St.,3/4/1997,1,1,Detroit Lions / 7th / 237th pick / 2022,LucaCh01,DET
98,Brodric Martin,24,DL,3,0,330,6-5,"North Alabama,Western Kentucky",5/24/1999,Rook,0,Detroit Lions / 3rd / 96th pick / 2023,MartBr00,DET
54,Alim McNeill,23,DL,13,13,315,6-2,North Carolina St.,5/11/2000,2,5,Detroit Lions / 3rd / 72nd pick / 2021,McNeAl00,DET
43,Jake McQuaide,36,LS,9,0,247,6-2,Ohio St.,12/7/1987,12,1,,McQuJa00,DET
6,Ifeatu Melifonwu,24,S,17,6,210,6-3,Syracuse,5/2/1999,2,3,Detroit Lions / 3rd / 101st pick / 2021,MeliIf00,DET
82,James Mitchell,24,TE,15,1,246,6-4,Virginia Tech,8/11/1999,1,0,Detroit Lions / 5th / 177th pick / 2022,MitcJa00,DET
5,David Montgomery,26,RB,14,14,224,5-11,Iowa St.,6/7/1997,4,9,Chicago Bears / 3rd / 73rd pick / 2019,MontDa01,DET
4,Emmanuel Moseley,27,CB,1,0,195,5-11,Tennessee,3/25/1996,5,0,,MoseEm00,DET
67,Matt Nelson,28,T,3,2,295,6-8,Iowa,12/19/1995,3,1,,NelsMa00,DET
62,Michael Niese,25,OL,1,0,295,6-5,"Dayton,Temple",1/13/1998,1,0,,NiesMi00,DET
59,Trevor Nowaske,25,LB,2,0,235,6-3,Saginaw Valley St.,11/7/1998,Rook,0,,NowaTr00,DET
99,Julian Okwara,26,LB,9,1,250,6-4,Notre Dame,12/27/1997,3,1,Detroit Lions / 3rd / 67th pick / 2020,OkwaJu00,DET
95,Romeo Okwara,28,DL,16,0,255,6-4,Notre Dame,6/17/1995,7,1,,OkwaRo01,DET
91,Levi Onwuzurike,25,DL,10,0,290,6-3,Washington,3/2/1998,2,1,Detroit Lions / 2nd / 41st pick / 2021,OnwuLe00,DET
33,Devine Ozigbo,27,RB,3,0,225,6-0,Nebraska,10/2/1996,4,0,,OzigDe01,DET
93,Josh Paschal,24,DL,12,4,274,6-3,Kentucky,12/17/1999,1,2,Detroit Lions / 2nd / 46th pick / 2022,PascJo00,DET
36,Riley Patterson,24,K,13,0,190,6-0,Memphis,9/7/1999,2,2,,PattRi01,DET
19,Donovan Peoples-Jones,24,WR,8,1,204,6-2,Michigan,2/19/1999,3,1,Cleveland Browns / 6th / 187th pick / 2020,PeopDo00,DET
57,Anthony Pittman,27,LB,17,0,224,6-3,Wayne State (MI),11/24/1996,4,1,,PittAn01,DET
77,Frank Ragnow,27,C,15,15,310,6-5,Arkansas,5/17/1996,5,11,Detroit Lions / 1st / 20th pick / 2018,RagnFr00,DET
11,Kalif Raymond,29,WR,17,3,180,5-8,Holy Cross,8/8/1994,7,5,,RaymKa00,DET
42,Jalen Reeves-Maybin,28,LB,17,0,226,6-1,Tennessee,1/31/1995,6,6,Detroit Lions / 4th / 124th pick / 2017,ReevJa00,DET
13,Craig Reynolds,27,RB,17,0,216,5-11,Kutztown (PA),6/15/1996,4,2,,ReynCr00,DET
8,Josh Reynolds,28,WR,17,13,192,6-3,Texas A&M,2/16/1995,6,6,Los Angeles Rams / 4th / 117th pick / 2017,ReynJo00,DET
44,Malcolm Rodriguez,24,LB,17,3,234,5-11,Oklahoma St.,3/29/1999,1,2,Detroit Lions / 6th / 188th pick / 2022,RodrMa00,DET
71,Michael Schofield,33,G,0,0,301,6-6,Michigan,11/15/1990,8,0,Denver Broncos / 3rd / 95th pick / 2014,SchoMi00,DET
58,Penei Sewell,23,T,17,17,335,6-5,Oregon,10/9/2000,2,17,Detroit Lions / 1st / 7th pick / 2021,SewePe00,DET
70,Dan Skipper,29,T,11,1,330,6-9,Arkansas,9/20/1994,6,1,,SkipDa00,DET
75,Colby Sorsdal,23,OL,16,3,315,6-6,William & Mary,3/1/2000,Rook,2,Detroit Lions / 5th / 152nd pick / 2023,SorsCo00,DET
14,Amon-Ra St. Brown,24,WR,16,16,202,6-0,USC,10/24/1999,2,15,Detroit Lions / 4th / 112th pick / 2021,StxxAm00,DET
1,Cameron Sutton,28,CB,17,17,188,5-11,Tennessee,2/27/1995,6,5,Pittsburgh Steelers / 3rd / 94th pick / 2017,SuttCa00,DET
72,Halapoulivaati Vaitai,30,G,6,3,322,6-6,TCU,6/16/1993,7,2,Philadelphia Eagles / 5th / 164th pick / 2016,VaitHa00,DET
29,Kindle Vildor,26,CB,5,2,189,5-11,Georgia Southern,12/11/1997,3,1,Chicago Bears / 5th / 163rd pick / 2020,VildKi00,DET
21,Tracy Walker,28,SS,17,6,206,6-1,Louisiana,2/1/1995,5,2,Detroit Lions / 3rd / 82nd pick / 2018,WalkTr01,DET
9,Jameson Williams,22,WR,12,10,180,6-1,"Ohio St.,Alabama",3/26/2001,1,4,Detroit Lions / 1st / 12th pick / 2022,WillJa11,DET
89,Brock Wright,25,TE,14,4,250,6-5,Notre Dame,11/27/1998,2,1,,WrigBr01,DET
,Team Total,26.4,,17,,245.1,6-2.1,,,3.5,,,,DET
