No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,Team
42,Ethan Evans,22,P,17,0,250,6-3,Wingate,7/19/2001,Rook,2,Los Angeles Rams / 7th / 223rd pick / 2023,EvanEt00,LAR
21,Zach Evans,22,RB,10,0,211,5-11,"TCU,Mississippi",5/30/2001,Rook,0,Los Angeles Rams / 6th / 215th pick / 2023,EvanZa00,LAR
54,Olakunle Fatukasi,24,LB,1,0,238,6-2,Rutgers,6/11/1999,1,0,,FatuOl00,LAR
24,Royce Freeman,27,RB,14,0,238,6-0,Oregon,2/24/1996,5,2,Denver Broncos / 3rd / 71st pick / 2018,FreeRo00,LAR
4,Jordan Fuller,25,DB,17,17,203,6-2,Ohio St.,3/4/1998,3,6,Los Angeles Rams / 6th / 199th pick / 2020,FullJo01,LAR
33,Myles Gaskin,26,RB,1,0,199,5-10,Washington,2/15/1997,4,0,Miami Dolphins / 7th / 234th pick / 2019,GaskMy00,LAR
31,Nick Hampton,23,OLB,10,0,247,6-3,Appalachian St.,4/5/2000,Rook,1,Los Angeles Rams / 5th / 161st pick / 2023,HampNi00,LAR
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,LAR
79,Rob Havenstein,31,T,14,14,323,6-8,Wisconsin,5/13/1992,8,7,St. Louis Rams / 2nd / 57th pick / 2015,HaveRo00,LAR
8,Lucas Havrisik,24,K,9,0,,6-2,Arizona,9/29/1999,1,0,,HavrLu00,LAR
27,Darrell Henderson,26,RB,4,4,208,5-8,Memphis,8/19/1997,4,2,Los Angeles Rams / 3rd / 70th pick / 2019,HendDa00,LAR
89,Tyler Higbee,30,TE,15,15,255,6-6,Western Kentucky,1/1/1993,7,5,Los Angeles Rams / 4th / 110th pick / 2016,HigbTy00,LAR
97,Michael Hoecht,26,OLB,17,17,267,6-4,Brown,10/5/1997,2,7,,HoecMi00,LAR
88,Brycen Hopkins,26,TE,15,0,245,6-4,Purdue,3/27/1997,3,1,Los Angeles Rams / 4th / 136th pick / 2020,HopkBr01,LAR
35,Jake Hummel,24,LB,17,0,227,6-1,Iowa St.,1/4/1999,1,1,,HummJa00,LAR
77,Alaric Jackson,25,T,15,15,345,6-7,Iowa,7/14/1998,2,8,,JackAl01,LAR
12,Van Jefferson,27,WR,5,4,200,6-1,"Mississippi,Florida",7/26/1996,3,1,Los Angeles Rams / 2nd / 57th pick / 2020,JeffVa00,LAR
94,Desjuan Johnson,24,DE,11,0,285,6-3,Toledo,9/3/1999,Rook,1,Los Angeles Rams / 7th / 259th pick / 2023,JohnDe08,LAR
43,John Johnson,28,DB,17,8,204,6-0,Boston Col.,12/19/1995,6,3,Los Angeles Rams / 3rd / 91st pick / 2017,JohnJo10,LAR
16,Tyler Johnson,25,WR,1,0,208,6-1,Minnesota,8/25/1998,3,0,Tampa Bay Buccaneers / 5th / 161st pick / 2020,JohnTy00,LAR
38,Shaun Jolly,25,DB,4,0,186,5-9,Appalachian St.,10/17/1998,1,0,,JollSh00,LAR
53,Ernest Jones,24,LB,15,15,233,6-2,South Carolina,11/22/1999,2,6,Los Angeles Rams / 3rd / 103rd pick / 2021,JoneEr01,LAR
1,Derion Kendrick,23,DB,17,12,199,6-0,"Clemson,Georgia",8/24/2000,1,4,Los Angeles Rams / 6th / 212th pick / 2022,KendDe00,LAR
10,Cooper Kupp,30,WR,12,12,207,6-2,Eastern Washington,6/15/1993,6,7,Los Angeles Rams / 3rd / 69th pick / 2017,KuppCo00,LAR
37,Quentin Lake,24,DB,14,4,196,6-1,UCLA,1/29/1999,1,2,Los Angeles Rams / 6th / 211th pick / 2022,LakeQu00,LAR
84,Hunter Long,25,TE,4,1,243,6-5,Boston Col.,8/19/1998,2,0,Miami Dolphins / 3rd / 81st pick / 2021,LongHu00,LAR
8,Brett Maher,34,K,8,0,180,6-0,Nebraska,11/21/1989,5,0,,MaheBr01,LAR
32,Ochaun Mathis,24,OLB,8,0,260,6-5,"TCU,Nebraska",1/9/1999,Rook,1,Los Angeles Rams / 6th / 189th pick / 2023,MathOc00,LAR
71,Warren McClendon,22,T,6,0,317,6-4,Georgia,4/11/2001,Rook,0,Los Angeles Rams / 5th / 174th pick / 2023,McClWa00,LAR
52,Larrell Murchison,26,DT,15,3,285,6-2,North Carolina St.,4/24/1997,3,2,Tennessee Titans / 5th / 174th pick / 2020,MurcLa00,LAR
17,Puka Nacua,22,WR,17,17,212,6-2,"Washington,BYU",5/29/2001,Rook,14,Los Angeles Rams / 5th / 177th pick / 2023,NacuPu00,LAR
70,Joseph Noteboom,28,T,14,8,300,6-5,TCU,6/19/1995,5,5,Los Angeles Rams / 3rd / 89th pick / 2018,NoteJo00,LAR
59,Troy Reeder,29,LB,17,6,236,6-3,"Penn St.,Delaware",9/13/1994,4,3,,ReedTr01,LAR
20,Ronnie Rivers,24,RB,9,1,192,5-9,Fresno St.,1/31/1999,1,1,,RiveRo01,LAR
15,Demarcus Robinson,29,WR,16,4,202,6-1,Florida,9/21/1994,7,4,Kansas City Chiefs / 4th / 126th pick / 2016,RobiDe01,LAR
56,Christian Rozeboom,26,LB,17,5,237,6-2,South Dakota St.,1/30/1997,2,3,,RozeCh00,LAR
11,Brett Rypien,27,QB,2,1,202,6-2,Boise St.,7/9/1996,3,1,,RypiBr00,LAR
26,Duke Shelley,27,DB,11,0,176,5-9,Kansas St.,10/8/1996,4,1,Chicago Bears / 6th / 205th pick / 2019,ShelDu00,LAR
65,Coleman Shelton,28,C,17,17,285,6-5,Washington,7/28/1995,4,7,,ShelCo00,LAR
18,Ben Skowronek,26,WR,17,0,224,6-3,"Northwestern,Notre Dame",6/27/1997,2,1,Los Angeles Rams / 7th / 249th pick / 2021,SkowBe00,LAR
9,Matthew Stafford,35,QB,15,15,214,6-3,Georgia,2/7/1988,14,13,Detroit Lions / 1st / 1st pick / 2009,StafMa00,LAR
25,Jason Taylor,24,DB,8,0,205,6-0,Oklahoma St.,12/30/1999,Rook,0,Los Angeles Rams / 7th / 234th pick / 2023,TaylJa05,LAR
96,Keir Thomas,25,OLB,8,0,260,6-2,"South Carolina,Florida St.",1/25/1998,1,1,,ThomKe04,LAR
57,Zachary Thomas,25,OL,2,0,305,6-5,San Diego St.,5/26/1998,1,0,Chicago Bears / 6th / 186th pick / 2022,ThomZa04,LAR
46,Carson Tinker,34,LS,4,0,233,6-0,Alabama,11/15/1989,10,0,,TinkCa00,LAR
6,Tre'Vius Tomlinson,23,DB,15,0,177,5-9,TCU,1/10/2000,Rook,1,Los Angeles Rams / 6th / 182nd pick / 2023,HodgTr00,LAR
81,Austin Trammell,25,WR,16,0,185,5-10,Rice,7/4/1998,2,0,,TramAu00,LAR
91,Kobie Turner,24,NT,17,4,297,6-2,"Richmond,Wake Forest",4/26/1999,Rook,3,Los Angeles Rams / 3rd / 89th pick / 2023,TurnKo00,LAR
51,Zach VanValkenburg,25,OLB,9,0,259,6-4,"Hillsdale,Iowa",2/17/1998,1,1,,VanVZa00,LAR
47,Alex Ward,24,LS,13,0,241,6-4,Central Florida,4/21/1999,Rook,1,,WardAl00,LAR
11,Carson Wentz,31,QB,2,1,237,6-5,North Dakota St.,12/30/1992,7,1,Philadelphia Eagles / 1st / 2nd pick / 2016,WentCa00,LAR
92,Jonah Williams,28,DE,17,16,275,6-5,Weber St.,8/17/1995,2,6,,WillJo16,LAR
23,Kyren Williams,23,RB,12,11,202,5-9,Notre Dame,8/26/2000,1,10,Los Angeles Rams / 5th / 164th pick / 2022,WillKy02,LAR
44,Ahkello Witherspoon,28,DB,17,17,195,6-2,Colorado,3/21/1995,6,6,San Francisco 49ers / 3rd / 66th pick / 2017,WithAh00,LAR
2,Russ Yeast,24,DB,17,9,191,5-10,"Louisville,Kansas St.",5/8/1999,1,3,Los Angeles Rams / 7th / 253rd pick / 2022,YeasRu00,LAR
0,Byron Young,25,OLB,17,16,258,6-2,"Georgia Military,Tennessee",3/13/1998,Rook,7,Los Angeles Rams / 3rd / 77th pick / 2023,YounBy01,LAR
,Team Total,25.9,,17,,242.9,6-1.9,,,2.7,,,,LAR
