No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,Team
27,Tae Hayes,26,CB,1,0,188,5-9,Appalachian St.,8/19/1997,4,0,,HayeTa00,NYJ
98,Bruce Hector,29,DL,2,0,296,6-2,South Florida,10/7/1994,5,0,,HectBr00,NYJ
42,Thomas Hennessy,29,LS,17,0,246,6-2,Duke,6/11/1994,6,1,,HennTh00,NYJ
97,Jalyn Holmes,27,DL,5,0,283,6-5,Ohio St.,1/25/1996,5,0,Minnesota Vikings / 4th / 102nd pick / 2018,HolmJa01,NYJ
47,Bryce Huff,25,LB,17,0,255,6-3,Memphis,4/17/1998,3,2,,HuffBr00,NYJ
31,Craig James,27,CB,2,0,195,5-10,Southern Illinois,4/29/1996,5,0,,JameCr01,NYJ
70,Quinton Jefferson,30,DL,14,14,290,6-4,Maryland,3/31/1993,7,7,Seattle Seahawks / 5th / 147th pick / 2016,JeffQu00,NYJ
11,Jermaine Johnson II,24,LB,17,17,254,6-5,"Independence (KS),Georgia,Florida St.",1/7/1999,1,12,New York Jets / 1st / 26th pick / 2022,JohnJe07,NYJ
68,Dennis Kelly,33,T,1,0,321,6-8,Purdue,1/16/1990,11,0,Philadelphia Eagles / 5th / 153rd pick / 2012,KellDe00,NYJ
81,Zack Kuntz,24,TE,1,0,251,6-8,"Penn St.,Old Dominion",6/6/1999,Rook,0,New York Jets / 7th / 220th pick / 2023,KuntZa00,NYJ
58,Carl Lawson,28,DE,6,0,260,6-2,Auburn,6/29/1995,6,0,Cincinnati Bengals / 4th / 116th pick / 2017,LawsCa00,NYJ
10,Allen Lazard,28,WR,14,12,227,6-5,Iowa St.,12/11/1995,5,2,,LazaAl00,NYJ
41,Marcelino McCrary-Ball,24,LB,2,0,214,6-0,Indiana,3/23/1999,1,0,,McCrMa01,NYJ
99,Will McDonald,24,DL,15,0,236,6-4,Iowa St.,6/4/1999,Rook,2,New York Jets / 1st / 15th pick / 2023,McDoWi00,NYJ
60,Connor McGovern,30,C,7,7,306,6-4,Missouri,4/27/1993,6,2,Denver Broncos / 5th / 144th pick / 2016,McGoCo00,NYJ
61,Max Mitchell,24,OL,14,7,307,6-6,Louisiana,10/12/1999,1,2,New York Jets / 4th / 111th pick / 2022,MitcMa02,NYJ
5,Thomas Morstead,37,P,17,0,225,6-4,SMU,3/8/1986,14,4,New Orleans Saints / 5th / 164th pick / 2009,MorsTh00,NYJ
57,C.J. Mosley,31,LB,17,17,231,6-2,Alabama,6/19/1992,9,8,Baltimore Ravens / 1st / 17th pick / 2014,MoslC.00,NYJ
65,Xavier Newman-Johnson,24,OL,7,4,297,6-2,Baylor,8/4/1999,1,1,,NewmXa00,NYJ
4,D.J. Reed,27,CB,15,15,188,5-9,Kansas St.,11/11/1996,5,5,San Francisco 49ers / 5th / 142nd pick / 2018,ReedD.00,NYJ
8,Aaron Rodgers,40,QB,1,1,223,6-2,"Butte JC (CA),California",12/2/1983,18,0,Green Bay Packers / 1st / 24th pick / 2005,RodgAa00,NYJ
89,Jeremy Ruckert,23,TE,15,6,250,6-5,Ohio St.,8/11/2000,1,1,New York Jets / 3rd / 101st pick / 2022,RuckJe00,NYJ
71,Wes Schweitzer,30,OL,6,2,300,6-4,San Jose St.,9/11/1993,6,1,Atlanta Falcons / 6th / 195th pick / 2016,SchwWe00,NYJ
15,Austin Seibert,27,K,1,0,200,5-9,Oklahoma,11/15/1996,4,0,Cleveland Browns / 5th / 170th pick / 2019,SeibAu00,NYJ
44,Jamien Sherwood,23,LB,17,3,216,6-2,Auburn,1/12/2000,2,2,New York Jets / 5th / 146th pick / 2021,SherJa00,NYJ
14,Trevor Siemian,32,QB,5,3,220,6-3,Northwestern,12/26/1991,8,-2,Denver Broncos / 7th / 250th pick / 2015,SiemTr00,NYJ
79,Tanzel Smart,29,DL,4,0,295,6-1,Tulane,11/6/1994,6,0,Los Angeles Rams / 6th / 189th pick / 2017,SmarTa00,NYJ
55,Chazz Surratt,26,LB,14,0,233,6-2,North Carolina,2/16/1997,2,1,Minnesota Vikings / 3rd / 78th pick / 2021,SurrCh00,NYJ
86,Malik Taylor,28,WR,3,0,220,6-1,Ferris St.,12/21/1995,3,0,,TaylMa01,NYJ
94,Solomon Thomas,28,DL,17,3,295,6-3,Stanford,12/20/1995,6,3,San Francisco 49ers / 1st / 3rd pick / 2017,ThomSo00,NYJ
66,Joe Tippmann,22,C,16,14,313,6-6,Wisconsin,3/24/2001,Rook,4,New York Jets / 2nd / 43rd pick / 2023,TippJo00,NYJ
78,Laken Tomlinson,31,LG,17,17,323,6-3,Duke,2/9/1992,8,4,Detroit Lions / 1st / 28th pick / 2015,TomlLa01,NYJ
54,Billy Turner,32,T,14,2,313,6-5,North Dakota St.,10/17/1991,9,1,Miami Dolphins / 3rd / 67th pick / 2014,TurnBi00,NYJ
87,C.J. Uzomah,30,TE,12,8,262,6-6,Auburn,1/14/1993,8,0,Cincinnati Bengals / 5th / 157th pick / 2015,UzomC.00,NYJ
35,Xazavian Valladay,25,RB,1,0,198,6-0,"Wyoming,Arizona St.",7/3/1998,Rook,0,,VallXa00,NYJ
75,Alijah Vera-Tucker,24,G,5,5,308,6-5,USC,6/17/1999,2,1,New York Jets / 1st / 14th pick / 2021,VeraAl00,NYJ
67,Carter Warren,24,T,8,5,311,6-5,Pittsburgh,1/19/1999,Rook,2,New York Jets / 4th / 120th pick / 2023,WarrCa00,NYJ
3,Jordan Whitehead,26,SS,17,17,198,5-10,Pittsburgh,3/18/1997,5,6,Tampa Bay Buccaneers / 4th / 117th pick / 2018,WhitJo03,NYJ
56,Quincy Williams,27,LB,17,16,230,5-11,Murray St.,8/28/1996,4,17,Jacksonville Jaguars / 3rd / 98th pick / 2019,WillQu01,NYJ
95,Quinnen Williams,26,DL,17,17,303,6-3,Alabama,12/21/1997,4,12,New York Jets / 1st / 3rd pick / 2019,WillQu00,NYJ
17,Garrett Wilson,23,WR,17,17,183,6-0,Ohio St.,7/22/2000,1,7,New York Jets / 1st / 10th pick / 2022,WilsGa00,NYJ
2,Zach Wilson,24,QB,12,11,214,6-2,BYU,8/3/1999,2,5,New York Jets / 1st / 2nd pick / 2021,WilsZa00,NYJ
92,Perrion Winfrey,23,DT,1,0,292,6-4,"Iowa Western,Oklahoma",8/15/2000,1,0,Cleveland Browns / 4th / 108th pick / 2022,WinfPe00,NYJ
96,Al Woods,36,DL,6,0,309,6-4,LSU,3/25/1987,13,1,New Orleans Saints / 4th / 123rd pick / 2010,WoodAl99,NYJ
88,Kenny Yeboah,25,TE,5,1,250,6-4,"Temple,Mississippi",10/30/1998,2,0,,YeboKe00,NYJ
9,Greg Zuerlein,36,K,16,0,195,6-0,"Nebraska-Omaha,Missouri Western St.",12/27/1987,11,4,St. Louis Rams / 6th / 171st pick / 2012,ZuerGr00,NYJ
,Team Total,27.1,,17,,245.0,6-2.1,,,4.2,,,,NYJ
