No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,Team
34,Deon Jackson,24,RB,1,0,218,6-0,Duke,2/18/1999,2,0,,JackDe02,NYG
84,Tyree Jackson,26,TE,2,1,249,6-7,Buffalo,11/7/1997,2,0,,JackTy01,NYG
8,Daniel Jones,26,QB,6,6,230,6-5,Duke,5/27/1997,4,0,New York Giants / 1st / 6th pick / 2019,JoneDa05,NYG
36,Taiwan Jones,35,RB,2,0,195,6-0,Eastern Washington,7/26/1988,12,0,Oakland Raiders / 4th / 125th pick / 2011,JoneTa00,NYG
59,Casey Kreiter,33,LS,17,0,250,6-1,Iowa,8/13/1990,7,1,,KreiCa00,NYG
97,Dexter Lawrence,26,DL,16,16,340,6-4,Clemson,11/12/1997,4,13,New York Giants / 1st / 17th pick / 2019,LawrDe03,NYG
66,Shane Lemieux,26,G,4,1,310,6-4,Oregon,5/12/1997,3,0,New York Giants / 5th / 150th pick / 2020,LemiSh00,NYG
62,Jalen Mayfield,23,G,3,0,319,6-5,Michigan,5/23/2000,2,0,Atlanta Falcons / 3rd / 68th pick / 2021,MayfJa00,NYG
21,Bobby McCain,30,S,10,0,196,5-9,Memphis,8/18/1993,8,0,Miami Dolphins / 5th / 145th pick / 2015,McCaBo01,NYG
44,Nick McCloud,25,CB,17,3,193,6-1,"North Carolina St.,Notre Dame",7/9/1998,2,2,,McClNi00,NYG
41,Micah McFadden,23,LB,16,14,232,6-2,Indiana,1/3/2000,1,8,New York Giants / 5th / 146th pick / 2022,McFaMi01,NYG
60,Marcus McKethan,24,OL,16,5,335,6-7,North Carolina,5/19/1999,1,2,New York Giants / 5th / 173rd pick / 2022,McKeMa01,NYG
29,Xavier McKinney,25,FS,17,17,201,6-0,Alabama,8/8/1998,3,6,New York Giants / 2nd / 36th pick / 2020,McKiXa00,NYG
73,Evan Neal,23,T,7,7,340,6-7,Alabama,9/19/2000,1,2,New York Giants / 1st / 7th pick / 2022,NealEv00,NYG
93,Rakeem Nunez-Roches,30,DL,16,4,305,6-2,Southern Miss,7/3/1993,8,3,Kansas City Chiefs / 6th / 217th pick / 2015,NuneRa00,NYG
51,Azeez Ojulari,23,OLB,11,7,240,6-3,Georgia,6/16/2000,2,4,New York Giants / 2nd / 50th pick / 2021,OjulAz00,NYG
58,Bobby Okereke,27,LB,17,17,235,6-2,Stanford,7/29/1996,4,8,Indianapolis Colts / 3rd / 89th pick / 2019,OkerBo00,NYG
80,Gunner Olszewski,27,WR,10,0,190,6-0,Bemidji St.,11/26/1996,4,1,,OlszGu00,NYG
39,Gervarrius Owens,24,S,3,0,200,6-0,"NE Oklahoma A&M,Houston",10/14/1999,Rook,0,New York Giants / 7th / 254th pick / 2023,OwenGe00,NYG
74,Matt Peart,26,T,8,1,318,6-7,Connecticut,6/11/1997,3,1,New York Giants / 3rd / 99th pick / 2020,PearMa00,NYG
79,Tyre Phillips,26,T,10,9,330,6-5,"East Mississippi CC,Mississippi St.",1/29/1997,3,3,Baltimore Ravens / 3rd / 106th pick / 2020,PhilTy00,NYG
27,Jason Pinnock,24,S,16,16,200,6-0,Pittsburgh,6/30/1999,2,5,New York Jets / 5th / 175th pick / 2021,PinnJa01,NYG
67,Justin Pugh,33,OL,12,12,311,6-5,Syracuse,8/15/1990,10,4,New York Giants / 1st / 19th pick / 2013,PughJu00,NYG
95,Jordon Riley,25,DL,8,0,315,6-5,"North Carolina,Garden City (KS),Nebraska,Oregon",5/19/1998,Rook,1,New York Giants / 7th / 243rd pick / 2023,RileJo00,NYG
91,A'Shawn Robinson,28,DL,17,13,320,6-3,Alabama,3/21/1995,7,6,Detroit Lions / 2nd / 46th pick / 2016,RobiAS00,NYG
17,Wan'Dale Robinson,22,WR,15,8,185,5-8,"Nebraska,Kentucky",1/5/2001,1,4,New York Giants / 2nd / 43rd pick / 2022,RobiWa01,NYG
61,John Michael Schmitz,24,C,13,13,320,6-4,Minnesota,3/19/1999,Rook,4,New York Giants / 2nd / 57th pick / 2023,MichJo00,NYG
3,Sterling Shepard,30,WR,15,2,194,5-10,Oklahoma,2/10/1993,7,0,New York Giants / 2nd / 40th pick / 2016,ShepSt00,NYG
19,Isaiah Simmons,25,S,17,4,238,6-4,Clemson,7/26/1998,3,2,Arizona Cardinals / 1st / 8th pick / 2020,SimmIs00,NYG
86,Darius Slayton,26,WR,17,13,198,6-1,Auburn,1/12/1997,4,6,New York Giants / 5th / 171st pick / 2019,SlayDa01,NYG
2,Tyrod Taylor,34,QB,11,5,217,6-1,Virginia Tech,8/3/1989,12,5,Baltimore Ravens / 6th / 180th pick / 2011,TaylTy00,NYG
5,Kayvon Thibodeaux,23,OLB,17,17,258,6-5,Oregon,12/15/2000,1,9,New York Giants / 1st / 5th pick / 2022,ThibKa00,NYG
78,Andrew Thomas,24,T,10,10,315,6-5,Georgia,1/22/1999,3,4,New York Giants / 1st / 4th pick / 2020,ThomAn02,NYG
71,Jaylon Thomas,23,T,1,0,311,6-3,SMU,3/31/2000,Rook,0,,ThomJa05,NYG
12,Darren Waller,31,TE,12,11,238,6-6,Georgia Tech,9/13/1992,8,4,Baltimore Ravens / 6th / 204th pick / 2015,WallDa01,NYG
55,Jihad Ward,29,OLB,17,9,285,6-5,Illinois,5/11/1994,7,5,Oakland Raiders / 2nd / 44th pick / 2016,WardJi02,NYG
48,Benton Whitley,24,OLB,3,0,260,6-4,Holy Cross,2/12/1999,1,1,,WhitBe00,NYG
99,Leonard Williams,29,NT,8,7,300,6-5,USC,6/20/1994,8,3,New York Jets / 1st / 6th pick / 2015,WillLe02,NYG
53,Oshane Ximines,27,LB,3,0,254,6-4,Old Dominion,12/7/1996,4,0,New York Giants / 3rd / 95th pick / 2019,XimiOs00,NYG
,Team Total,26.3,,17,,247.3,6-2.5,,,3.6,,,,NYG
